village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_1,Synthetic Village 1,HH_1,SRV_01,2024-05-01,7,10
SYN_1,Synthetic Village 1,HH_2,SRV_01,2024-05-01,2,0
SYN_1,Synthetic Village 1,HH_3,SRV_01,2024-05-01,4,2
SYN_1,Synthetic Village 1,HH_4,SRV_01,2024-05-01,8,7
SYN_1,Synthetic Village 1,HH_5,SRV_01,2024-05-01,4,5
SYN_1,Synthetic Village 1,HH_6,SRV_01,2024-05-01,6,8
SYN_1,Synthetic Village 1,HH_7,SRV_01,2024-05-01,2,0
SYN_1,Synthetic Village 1,HH_8,SRV_01,2024-05-01,3,7
SYN_1,Synthetic Village 1,HH_9,SRV_01,2024-05-01,8,9
SYN_1,Synthetic Village 1,HH_10,SRV_01,2024-05-01,0,4
SYN_1,Synthetic Village 1,HH_11,SRV_01,2024-05-01,10,10
SYN_1,Synthetic Village 1,HH_12,SRV_01,2024-05-01,5,1
SYN_1,Synthetic Village 1,HH_13,SRV_01,2024-05-01,4,10
SYN_1,Synthetic Village 1,HH_14,SRV_01,2024-05-01,3,0
SYN_1,Synthetic Village 1,HH_15,SRV_01,2024-05-01,3,2
SYN_1,Synthetic Village 1,HH_16,SRV_01,2024-05-01,2,0
SYN_1,Synthetic Village 1,HH_17,SRV_01,2024-05-01,4,9
SYN_1,Synthetic Village 1,HH_18,SRV_01,2024-05-01,2,8
SYN_1,Synthetic Village 1,HH_19,SRV_01,2024-05-01,8,4
SYN_1,Synthetic Village 1,HH_20,SRV_01,2024-05-01,3,6
SYN_1,Synthetic Village 1,HH_21,SRV_01,2024-05-01,2,9
SYN_1,Synthetic Village 1,HH_22,SRV_01,2024-05-01,2,8
SYN_1,Synthetic Village 1,HH_23,SRV_01,2024-05-01,0,2
SYN_1,Synthetic Village 1,HH_24,SRV_01,2024-05-01,6,7
SYN_1,Synthetic Village 1,HH_25,SRV_01,2024-05-01,2,6
SYN_1,Synthetic Village 1,HH_26,SRV_01,2024-05-01,5,7
V_004,Nandur,HH_27,SRV_01,2024-05-01,10,7
V_004,Nandur,HH_28,SRV_01,2024-05-01,8,0
V_004,Nandur,HH_29,SRV_01,2024-05-01,0,7
V_004,Nandur,HH_30,SRV_01,2024-05-01,3,2
V_004,Nandur,HH_31,SRV_01,2024-05-01,9,6
V_004,Nandur,HH_32,SRV_01,2024-05-01,3,10
V_004,Nandur,HH_33,SRV_01,2024-05-01,6,3
V_004,Nandur,HH_34,SRV_01,2024-05-01,3,9
V_004,Nandur,HH_35,SRV_01,2024-05-01,10,4
V_004,Nandur,HH_36,SRV_01,2024-05-01,3,2
V_004,Nandur,HH_37,SRV_01,2024-05-01,10,6
V_004,Nandur,HH_38,SRV_01,2024-05-01,3,2
V_004,Nandur,HH_39,SRV_01,2024-05-01,9,2
V_004,Nandur,HH_40,SRV_01,2024-05-01,2,7
V_004,Nandur,HH_41,SRV_01,2024-05-01,0,5
V_004,Nandur,HH_42,SRV_01,2024-05-01,10,2
V_004,Nandur,HH_43,SRV_01,2024-05-01,0,4
V_004,Nandur,HH_44,SRV_01,2024-05-01,9,5
V_004,Nandur,HH_45,SRV_01,2024-05-01,3,1
V_004,Nandur,HH_46,SRV_01,2024-05-01,4,1
V_004,Nandur,HH_47,SRV_01,2024-05-01,10,3
V_004,Nandur,HH_48,SRV_01,2024-05-01,2,5
V_004,Nandur,HH_49,SRV_01,2024-05-01,9,4
V_004,Nandur,HH_50,SRV_01,2024-05-01,10,0
V_004,Nandur,HH_51,SRV_01,2024-05-01,6,10
V_004,Nandur,HH_52,SRV_01,2024-05-01,8,10
V_007,Koraput,HH_53,SRV_01,2024-05-01,5,10
V_007,Koraput,HH_54,SRV_01,2024-05-01,10,9
