village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
V_003,Kheda,HH_1,SRV_01,2024-05-01,7,3
V_003,Kheda,HH_2,SRV_01,2024-05-01,9,5
V_003,Kheda,HH_3,SRV_01,2024-05-01,4,7
V_003,Kheda,HH_4,SRV_01,2024-05-01,2,1
V_003,Kheda,HH_5,SRV_01,2024-05-01,0,2
V_003,Kheda,HH_6,SRV_01,2024-05-01,2,5
V_003,Kheda,HH_7,SRV_01,2024-05-01,9,0
V_003,Kheda,HH_8,SRV_01,2024-05-01,6,2
V_003,Kheda,HH_9,SRV_01,2024-05-01,6,4
V_003,Kheda,HH_10,SRV_01,2024-05-01,6,0
V_003,Kheda,HH_11,SRV_01,2024-05-01,7,5
V_003,Kheda,HH_12,SRV_01,2024-05-01,4,1
V_003,Kheda,HH_13,SRV_01,2024-05-01,6,5
V_003,Kheda,HH_14,SRV_01,2024-05-01,10,8
V_003,Kheda,HH_15,SRV_01,2024-05-01,4,10
V_003,Kheda,HH_16,SRV_01,2024-05-01,3,10
V_003,Kheda,HH_17,SRV_01,2024-05-01,0,0
V_003,Kheda,HH_18,SRV_01,2024-05-01,3,6
V_003,Kheda,HH_19,SRV_01,2024-05-01,3,10
V_003,Kheda,HH_20,SRV_01,2024-05-01,3,1
V_003,Kheda,HH_21,SRV_01,2024-05-01,9,9
V_003,Kheda,HH_22,SRV_01,2024-05-01,7,4
V_003,Kheda,HH_23,SRV_01,2024-05-01,2,5
V_003,Kheda,HH_24,SRV_01,2024-05-01,7,6
V_003,Kheda,HH_25,SRV_01,2024-05-01,3,9
V_003,Kheda,HH_26,SRV_01,2024-05-01,2,3
V_003,Kheda,HH_27,SRV_01,2024-05-01,6,7
SYN_6,Synthetic Village 6,HH_28,SRV_01,2024-05-01,9,3
SYN_6,Synthetic Village 6,HH_29,SRV_01,2024-05-01,3,7
SYN_6,Synthetic Village 6,HH_30,SRV_01,2024-05-01,7,3
SYN_6,Synthetic Village 6,HH_31,SRV_01,2024-05-01,10,9
SYN_6,Synthetic Village 6,HH_32,SRV_01,2024-05-01,2,9
SYN_6,Synthetic Village 6,HH_33,SRV_01,2024-05-01,9,1
SYN_6,Synthetic Village 6,HH_34,SRV_01,2024-05-01,10,2
SYN_6,Synthetic Village 6,HH_35,SRV_01,2024-05-01,6,7
SYN_6,Synthetic Village 6,HH_36,SRV_01,2024-05-01,3,9
SYN_6,Synthetic Village 6,HH_37,SRV_01,2024-05-01,4,1
SYN_6,Synthetic Village 6,HH_38,SRV_01,2024-05-01,4,5
SYN_6,Synthetic Village 6,HH_39,SRV_01,2024-05-01,0,8
SYN_6,Synthetic Village 6,HH_40,SRV_01,2024-05-01,8,7
SYN_6,Synthetic Village 6,HH_41,SRV_01,2024-05-01,4,10
SYN_6,Synthetic Village 6,HH_42,SRV_01,2024-05-01,8,2
SYN_6,Synthetic Village 6,HH_43,SRV_01,2024-05-01,1,1
SYN_6,Synthetic Village 6,HH_44,SRV_01,2024-05-01,1,6
SYN_6,Synthetic Village 6,HH_45,SRV_01,2024-05-01,10,10
SYN_6,Synthetic Village 6,HH_46,SRV_01,2024-05-01,0,6
SYN_6,Synthetic Village 6,HH_47,SRV_01,2024-05-01,8,1
SYN_6,Synthetic Village 6,HH_48,SRV_01,2024-05-01,7,2
SYN_6,Synthetic Village 6,HH_49,SRV_01,2024-05-01,3,1
SYN_6,Synthetic Village 6,HH_50,SRV_01,2024-05-01,5,5
SYN_6,Synthetic Village 6,HH_51,SRV_01,2024-05-01,10,3
SYN_6,Synthetic Village 6,HH_52,SRV_01,2024-05-01,3,0
SYN_4,Synthetic Village 4,HH_53,SRV_01,2024-05-01,0,6
SYN_4,Synthetic Village 4,HH_54,SRV_01,2024-05-01,9,4
SYN_4,Synthetic Village 4,HH_55,SRV_01,2024-05-01,5,3
SYN_4,Synthetic Village 4,HH_56,SRV_01,2024-05-01,2,6
SYN_4,Synthetic Village 4,HH_57,SRV_01,2024-05-01,5,1
SYN_4,Synthetic Village 4,HH_58,SRV_01,2024-05-01,4,4
SYN_4,Synthetic Village 4,HH_59,SRV_01,2024-05-01,7,10
SYN_4,Synthetic Village 4,HH_60,SRV_01,2024-05-01,4,0
SYN_4,Synthetic Village 4,HH_61,SRV_01,2024-05-01,8,8
SYN_4,Synthetic Village 4,HH_62,SRV_01,2024-05-01,2,5
