village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_0,Synthetic Village 0,HH_1,SRV_01,2024-05-01,9,9
SYN_0,Synthetic Village 0,HH_2,SRV_01,2024-05-01,1,0
SYN_0,Synthetic Village 0,HH_3,SRV_01,2024-05-01,4,8
SYN_0,Synthetic Village 0,HH_4,SRV_01,2024-05-01,2,2
SYN_0,Synthetic Village 0,HH_5,SRV_01,2024-05-01,1,7
SYN_0,Synthetic Village 0,HH_6,SRV_01,2024-05-01,9,3
SYN_0,Synthetic Village 0,HH_7,SRV_01,2024-05-01,2,5
SYN_0,Synthetic Village 0,HH_8,SRV_01,2024-05-01,2,8
SYN_0,Synthetic Village 0,HH_9,SRV_01,2024-05-01,8,4
SYN_0,Synthetic Village 0,HH_10,SRV_01,2024-05-01,2,2
SYN_0,Synthetic Village 0,HH_11,SRV_01,2024-05-01,2,2
SYN_0,Synthetic Village 0,HH_12,SRV_01,2024-05-01,9,9
SYN_0,Synthetic Village 0,HH_13,SRV_01,2024-05-01,7,6
SYN_0,Synthetic Village 0,HH_14,SRV_01,2024-05-01,0,4
SYN_0,Synthetic Village 0,HH_15,SRV_01,2024-05-01,2,1
SYN_0,Synthetic Village 0,HH_16,SRV_01,2024-05-01,1,6
SYN_0,Synthetic Village 0,HH_17,SRV_01,2024-05-01,6,0
SYN_0,Synthetic Village 0,HH_18,SRV_01,2024-05-01,3,3
SYN_0,Synthetic Village 0,HH_19,SRV_01,2024-05-01,5,3
SYN_0,Synthetic Village 0,HH_20,SRV_01,2024-05-01,7,9
SYN_0,Synthetic Village 0,HH_21,SRV_01,2024-05-01,4,6
SYN_0,Synthetic Village 0,HH_22,SRV_01,2024-05-01,2,4
SYN_0,Synthetic Village 0,HH_23,SRV_01,2024-05-01,10,5
SYN_0,Synthetic Village 0,HH_24,SRV_01,2024-05-01,7,3
SYN_0,Synthetic Village 0,HH_25,SRV_01,2024-05-01,7,3
SYN_0,Synthetic Village 0,HH_26,SRV_01,2024-05-01,0,5
SYN_0,Synthetic Village 0,HH_27,SRV_01,2024-05-01,3,8
V_005,Dantewada,HH_28,SRV_01,2024-05-01,5,7
V_005,Dantewada,HH_29,SRV_01,2024-05-01,7,2
V_005,Dantewada,HH_30,SRV_01,2024-05-01,0,2
V_005,Dantewada,HH_31,SRV_01,2024-05-01,0,1
V_005,Dantewada,HH_32,SRV_01,2024-05-01,6,10
V_005,Dantewada,HH_33,SRV_01,2024-05-01,8,5
V_005,Dantewada,HH_34,SRV_01,2024-05-01,2,0
V_005,Dantewada,HH_35,SRV_01,2024-05-01,7,10
V_005,Dantewada,HH_36,SRV_01,2024-05-01,10,5
V_005,Dantewada,HH_37,SRV_01,2024-05-01,4,4
V_005,Dantewada,HH_38,SRV_01,2024-05-01,8,6
V_005,Dantewada,HH_39,SRV_01,2024-05-01,0,9
V_005,Dantewada,HH_40,SRV_01,2024-05-01,8,4
V_005,Dantewada,HH_41,SRV_01,2024-05-01,1,9
V_005,Dantewada,HH_42,SRV_01,2024-05-01,1,2
V_005,Dantewada,HH_43,SRV_01,2024-05-01,7,5
V_005,Dantewada,HH_44,SRV_01,2024-05-01,4,1
V_005,Dantewada,HH_45,SRV_01,2024-05-01,9,6
V_005,Dantewada,HH_46,SRV_01,2024-05-01,7,5
V_005,Dantewada,HH_47,SRV_01,2024-05-01,9,4
V_005,Dantewada,HH_48,SRV_01,2024-05-01,2,1
V_005,Dantewada,HH_49,SRV_01,2024-05-01,5,7
V_005,Dantewada,HH_50,SRV_01,2024-05-01,1,10
V_005,Dantewada,HH_51,SRV_01,2024-05-01,8,8
V_005,Dantewada,HH_52,SRV_01,2024-05-01,3,7
SYN_6,Synthetic Village 6,HH_53,SRV_01,2024-05-01,1,9
SYN_6,Synthetic Village 6,HH_54,SRV_01,2024-05-01,9,10
SYN_6,Synthetic Village 6,HH_55,SRV_01,2024-05-01,10,1
SYN_6,Synthetic Village 6,HH_56,SRV_01,2024-05-01,4,10
SYN_6,Synthetic Village 6,HH_57,SRV_01,2024-05-01,1,2
SYN_6,Synthetic Village 6,HH_58,SRV_01,2024-05-01,6,9
SYN_6,Synthetic Village 6,HH_59,SRV_01,2024-05-01,9,2
SYN_6,Synthetic Village 6,HH_60,SRV_01,2024-05-01,8,6
SYN_6,Synthetic Village 6,HH_61,SRV_01,2024-05-01,9,2
SYN_6,Synthetic Village 6,HH_62,SRV_01,2024-05-01,2,6
SYN_6,Synthetic Village 6,HH_63,SRV_01,2024-05-01,8,0
SYN_6,Synthetic Village 6,HH_64,SRV_01,2024-05-01,4,3
SYN_6,Synthetic Village 6,HH_65,SRV_01,2024-05-01,2,0
SYN_6,Synthetic Village 6,HH_66,SRV_01,2024-05-01,1,3
SYN_6,Synthetic Village 6,HH_67,SRV_01,2024-05-01,7,8
SYN_6,Synthetic Village 6,HH_68,SRV_01,2024-05-01,9,3
SYN_6,Synthetic Village 6,HH_69,SRV_01,2024-05-01,2,3
SYN_6,Synthetic Village 6,HH_70,SRV_01,2024-05-01,0,0
SYN_6,Synthetic Village 6,HH_71,SRV_01,2024-05-01,0,6
SYN_6,Synthetic Village 6,HH_72,SRV_01,2024-05-01,7,10
SYN_6,Synthetic Village 6,HH_73,SRV_01,2024-05-01,1,9
SYN_6,Synthetic Village 6,HH_74,SRV_01,2024-05-01,1,2
SYN_6,Synthetic Village 6,HH_75,SRV_01,2024-05-01,6,3
SYN_6,Synthetic Village 6,HH_76,SRV_01,2024-05-01,6,8
SYN_6,Synthetic Village 6,HH_77,SRV_01,2024-05-01,10,9
SYN_6,Synthetic Village 6,HH_78,SRV_01,2024-05-01,0,6
SYN_6,Synthetic Village 6,HH_79,SRV_01,2024-05-01,3,3
SYN_6,Synthetic Village 6,HH_80,SRV_01,2024-05-01,10,4
