village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_0,Synthetic Village 0,HH_1,SRV_01,2024-05-01,3,7
SYN_0,Synthetic Village 0,HH_2,SRV_01,2024-05-01,3,7
SYN_0,Synthetic Village 0,HH_3,SRV_01,2024-05-01,3,8
SYN_0,Synthetic Village 0,HH_4,SRV_01,2024-05-01,4,1
SYN_0,Synthetic Village 0,HH_5,SRV_01,2024-05-01,1,3
SYN_0,Synthetic Village 0,HH_6,SRV_01,2024-05-01,7,0
SYN_0,Synthetic Village 0,HH_7,SRV_01,2024-05-01,9,0
SYN_0,Synthetic Village 0,HH_8,SRV_01,2024-05-01,4,8
SYN_0,Synthetic Village 0,HH_9,SRV_01,2024-05-01,4,7
SYN_0,Synthetic Village 0,HH_10,SRV_01,2024-05-01,3,3
SYN_0,Synthetic Village 0,HH_11,SRV_01,2024-05-01,6,3
SYN_0,Synthetic Village 0,HH_12,SRV_01,2024-05-01,10,2
SYN_0,Synthetic Village 0,HH_13,SRV_01,2024-05-01,10,9
SYN_0,Synthetic Village 0,HH_14,SRV_01,2024-05-01,7,1
SYN_0,Synthetic Village 0,HH_15,SRV_01,2024-05-01,8,8
SYN_0,Synthetic Village 0,HH_16,SRV_01,2024-05-01,4,5
SYN_0,Synthetic Village 0,HH_17,SRV_01,2024-05-01,1,2
SYN_0,Synthetic Village 0,HH_18,SRV_01,2024-05-01,5,2
SYN_0,Synthetic Village 0,HH_19,SRV_01,2024-05-01,9,1
SYN_0,Synthetic Village 0,HH_20,SRV_01,2024-05-01,6,9
SYN_0,Synthetic Village 0,HH_21,SRV_01,2024-05-01,2,2
SYN_0,Synthetic Village 0,HH_22,SRV_01,2024-05-01,7,7
SYN_0,Synthetic Village 0,HH_23,SRV_01,2024-05-01,4,1
SYN_0,Synthetic Village 0,HH_24,SRV_01,2024-05-01,6,1
SYN_0,Synthetic Village 0,HH_25,SRV_01,2024-05-01,3,10
SYN_0,Synthetic Village 0,HH_26,SRV_01,2024-05-01,9,7
SYN_5,Synthetic Village 5,HH_27,SRV_01,2024-05-01,0,3
SYN_5,Synthetic Village 5,HH_28,SRV_01,2024-05-01,9,6
SYN_5,Synthetic Village 5,HH_29,SRV_01,2024-05-01,1,9
SYN_5,Synthetic Village 5,HH_30,SRV_01,2024-05-01,5,8
SYN_5,Synthetic Village 5,HH_31,SRV_01,2024-05-01,6,10
SYN_5,Synthetic Village 5,HH_32,SRV_01,2024-05-01,9,9
SYN_5,Synthetic Village 5,HH_33,SRV_01,2024-05-01,3,9
SYN_5,Synthetic Village 5,HH_34,SRV_01,2024-05-01,0,3
SYN_5,Synthetic Village 5,HH_35,SRV_01,2024-05-01,2,0
SYN_5,Synthetic Village 5,HH_36,SRV_01,2024-05-01,7,2
SYN_5,Synthetic Village 5,HH_37,SRV_01,2024-05-01,6,7
SYN_5,Synthetic Village 5,HH_38,SRV_01,2024-05-01,5,4
SYN_5,Synthetic Village 5,HH_39,SRV_01,2024-05-01,6,4
SYN_5,Synthetic Village 5,HH_40,SRV_01,2024-05-01,10,7
SYN_5,Synthetic Village 5,HH_41,SRV_01,2024-05-01,4,7
SYN_5,Synthetic Village 5,HH_42,SRV_01,2024-05-01,2,8
SYN_5,Synthetic Village 5,HH_43,SRV_01,2024-05-01,5,9
SYN_5,Synthetic Village 5,HH_44,SRV_01,2024-05-01,4,4
SYN_5,Synthetic Village 5,HH_45,SRV_01,2024-05-01,7,4
SYN_5,Synthetic Village 5,HH_46,SRV_01,2024-05-01,5,2
SYN_5,Synthetic Village 5,HH_47,SRV_01,2024-05-01,2,9
SYN_5,Synthetic Village 5,HH_48,SRV_01,2024-05-01,4,5
SYN_5,Synthetic Village 5,HH_49,SRV_01,2024-05-01,7,4
SYN_5,Synthetic Village 5,HH_50,SRV_01,2024-05-01,3,8
SYN_5,Synthetic Village 5,HH_51,SRV_01,2024-05-01,9,4
SYN_5,Synthetic Village 5,HH_52,SRV_01,2024-05-01,1,4
SYN_5,Synthetic Village 5,HH_53,SRV_01,2024-05-01,7,5
V_007,Koraput,HH_54,SRV_01,2024-05-01,1,3
V_007,Koraput,HH_55,SRV_01,2024-05-01,7,5
V_007,Koraput,HH_56,SRV_01,2024-05-01,3,3
V_007,Koraput,HH_57,SRV_01,2024-05-01,10,0
V_007,Koraput,HH_58,SRV_01,2024-05-01,1,8
V_007,Koraput,HH_59,SRV_01,2024-05-01,3,0
V_007,Koraput,HH_60,SRV_01,2024-05-01,5,0
V_007,Koraput,HH_61,SRV_01,2024-05-01,3,4
V_007,Koraput,HH_62,SRV_01,2024-05-01,10,9
V_007,Koraput,HH_63,SRV_01,2024-05-01,7,8
V_007,Koraput,HH_64,SRV_01,2024-05-01,7,4
V_007,Koraput,HH_65,SRV_01,2024-05-01,0,8
V_007,Koraput,HH_66,SRV_01,2024-05-01,7,9
V_007,Koraput,HH_67,SRV_01,2024-05-01,10,1
V_007,Koraput,HH_68,SRV_01,2024-05-01,6,6
V_007,Koraput,HH_69,SRV_01,2024-05-01,5,2
V_007,Koraput,HH_70,SRV_01,2024-05-01,2,2
V_007,Koraput,HH_71,SRV_01,2024-05-01,6,7
V_007,Koraput,HH_72,SRV_01,2024-05-01,10,9
V_007,Koraput,HH_73,SRV_01,2024-05-01,3,9
V_007,Koraput,HH_74,SRV_01,2024-05-01,3,5
V_007,Koraput,HH_75,SRV_01,2024-05-01,10,3
V_007,Koraput,HH_76,SRV_01,2024-05-01,7,7
