village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_6,Synthetic Village 6,HH_1,SRV_01,2024-05-01,2,8
SYN_6,Synthetic Village 6,HH_2,SRV_01,2024-05-01,10,3
SYN_6,Synthetic Village 6,HH_3,SRV_01,2024-05-01,10,6
SYN_6,Synthetic Village 6,HH_4,SRV_01,2024-05-01,3,1
SYN_6,Synthetic Village 6,HH_5,SRV_01,2024-05-01,3,8
SYN_6,Synthetic Village 6,HH_6,SRV_01,2024-05-01,1,9
SYN_6,Synthetic Village 6,HH_7,SRV_01,2024-05-01,9,1
SYN_6,Synthetic Village 6,HH_8,SRV_01,2024-05-01,8,4
SYN_6,Synthetic Village 6,HH_9,SRV_01,2024-05-01,8,10
SYN_6,Synthetic Village 6,HH_10,SRV_01,2024-05-01,4,3
SYN_6,Synthetic Village 6,HH_11,SRV_01,2024-05-01,9,3
SYN_6,Synthetic Village 6,HH_12,SRV_01,2024-05-01,6,7
SYN_6,Synthetic Village 6,HH_13,SRV_01,2024-05-01,9,1
SYN_6,Synthetic Village 6,HH_14,SRV_01,2024-05-01,9,7
SYN_6,Synthetic Village 6,HH_15,SRV_01,2024-05-01,9,5
SYN_6,Synthetic Village 6,HH_16,SRV_01,2024-05-01,8,5
SYN_6,Synthetic Village 6,HH_17,SRV_01,2024-05-01,7,6
SYN_6,Synthetic Village 6,HH_18,SRV_01,2024-05-01,9,5
SYN_6,Synthetic Village 6,HH_19,SRV_01,2024-05-01,4,4
SYN_6,Synthetic Village 6,HH_20,SRV_01,2024-05-01,5,8
SYN_6,Synthetic Village 6,HH_21,SRV_01,2024-05-01,6,9
SYN_6,Synthetic Village 6,HH_22,SRV_01,2024-05-01,6,0
SYN_6,Synthetic Village 6,HH_23,SRV_01,2024-05-01,0,0
SYN_6,Synthetic Village 6,HH_24,SRV_01,2024-05-01,5,0
SYN_6,Synthetic Village 6,HH_25,SRV_01,2024-05-01,8,9
SYN_6,Synthetic Village 6,HH_26,SRV_01,2024-05-01,0,2
V_006,Palakkad,HH_27,SRV_01,2024-05-01,7,10
V_006,Palakkad,HH_28,SRV_01,2024-05-01,10,1
V_006,Palakkad,HH_29,SRV_01,2024-05-01,0,9
V_006,Palakkad,HH_30,SRV_01,2024-05-01,6,3
V_006,Palakkad,HH_31,SRV_01,2024-05-01,1,2
V_006,Palakkad,HH_32,SRV_01,2024-05-01,3,1
V_006,Palakkad,HH_33,SRV_01,2024-05-01,10,7
V_006,Palakkad,HH_34,SRV_01,2024-05-01,10,4
V_006,Palakkad,HH_35,SRV_01,2024-05-01,10,7
V_006,Palakkad,HH_36,SRV_01,2024-05-01,5,5
V_006,Palakkad,HH_37,SRV_01,2024-05-01,1,4
V_006,Palakkad,HH_38,SRV_01,2024-05-01,9,0
V_006,Palakkad,HH_39,SRV_01,2024-05-01,10,5
V_006,Palakkad,HH_40,SRV_01,2024-05-01,6,5
V_006,Palakkad,HH_41,SRV_01,2024-05-01,7,9
V_006,Palakkad,HH_42,SRV_01,2024-05-01,3,2
V_006,Palakkad,HH_43,SRV_01,2024-05-01,4,8
V_006,Palakkad,HH_44,SRV_01,2024-05-01,2,10
V_006,Palakkad,HH_45,SRV_01,2024-05-01,5,7
V_006,Palakkad,HH_46,SRV_01,2024-05-01,7,4
V_006,Palakkad,HH_47,SRV_01,2024-05-01,1,3
V_006,Palakkad,HH_48,SRV_01,2024-05-01,6,5
V_006,Palakkad,HH_49,SRV_01,2024-05-01,8,1
V_006,Palakkad,HH_50,SRV_01,2024-05-01,8,9
V_006,Palakkad,HH_51,SRV_01,2024-05-01,9,8
V_002,Gopalpur,HH_52,SRV_01,2024-05-01,5,5
V_002,Gopalpur,HH_53,SRV_01,2024-05-01,2,1
V_002,Gopalpur,HH_54,SRV_01,2024-05-01,10,3
V_002,Gopalpur,HH_55,SRV_01,2024-05-01,6,6
V_002,Gopalpur,HH_56,SRV_01,2024-05-01,4,6
V_002,Gopalpur,HH_57,SRV_01,2024-05-01,4,0
V_002,Gopalpur,HH_58,SRV_01,2024-05-01,2,9
V_002,Gopalpur,HH_59,SRV_01,2024-05-01,0,7
V_002,Gopalpur,HH_60,SRV_01,2024-05-01,6,5
V_002,Gopalpur,HH_61,SRV_01,2024-05-01,9,6
V_002,Gopalpur,HH_62,SRV_01,2024-05-01,1,0
V_002,Gopalpur,HH_63,SRV_01,2024-05-01,1,2
V_002,Gopalpur,HH_64,SRV_01,2024-05-01,7,2
V_002,Gopalpur,HH_65,SRV_01,2024-05-01,3,4
