village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_6,Synthetic Village 6,HH_1,SRV_01,2024-05-01,7,8
SYN_6,Synthetic Village 6,HH_2,SRV_01,2024-05-01,8,0
SYN_6,Synthetic Village 6,HH_3,SRV_01,2024-05-01,10,7
SYN_6,Synthetic Village 6,HH_4,SRV_01,2024-05-01,2,7
SYN_6,Synthetic Village 6,HH_5,SRV_01,2024-05-01,3,2
SYN_6,Synthetic Village 6,HH_6,SRV_01,2024-05-01,5,6
SYN_6,Synthetic Village 6,HH_7,SRV_01,2024-05-01,6,0
SYN_6,Synthetic Village 6,HH_8,SRV_01,2024-05-01,8,10
SYN_6,Synthetic Village 6,HH_9,SRV_01,2024-05-01,5,10
SYN_6,Synthetic Village 6,HH_10,SRV_01,2024-05-01,2,6
SYN_6,Synthetic Village 6,HH_11,SRV_01,2024-05-01,9,6
SYN_6,Synthetic Village 6,HH_12,SRV_01,2024-05-01,0,3
SYN_6,Synthetic Village 6,HH_13,SRV_01,2024-05-01,1,6
SYN_6,Synthetic Village 6,HH_14,SRV_01,2024-05-01,4,6
SYN_6,Synthetic Village 6,HH_15,SRV_01,2024-05-01,4,4
SYN_6,Synthetic Village 6,HH_16,SRV_01,2024-05-01,3,7
SYN_6,Synthetic Village 6,HH_17,SRV_01,2024-05-01,1,10
SYN_6,Synthetic Village 6,HH_18,SRV_01,2024-05-01,7,7
SYN_6,Synthetic Village 6,HH_19,SRV_01,2024-05-01,6,7
SYN_6,Synthetic Village 6,HH_20,SRV_01,2024-05-01,2,4
SYN_6,Synthetic Village 6,HH_21,SRV_01,2024-05-01,8,1
SYN_6,Synthetic Village 6,HH_22,SRV_01,2024-05-01,5,10
SYN_6,Synthetic Village 6,HH_23,SRV_01,2024-05-01,2,10
SYN_6,Synthetic Village 6,HH_24,SRV_01,2024-05-01,4,9
SYN_6,Synthetic Village 6,HH_25,SRV_01,2024-05-01,1,9
V_002,Gopalpur,HH_26,SRV_01,2024-05-01,6,6
V_002,Gopalpur,HH_27,SRV_01,2024-05-01,10,0
V_002,Gopalpur,HH_28,SRV_01,2024-05-01,1,1
V_002,Gopalpur,HH_29,SRV_01,2024-05-01,9,10
V_002,Gopalpur,HH_30,SRV_01,2024-05-01,9,4
V_002,Gopalpur,HH_31,SRV_01,2024-05-01,10,4
V_002,Gopalpur,HH_32,SRV_01,2024-05-01,8,4
V_002,Gopalpur,HH_33,SRV_01,2024-05-01,0,10
V_002,Gopalpur,HH_34,SRV_01,2024-05-01,8,1
V_002,Gopalpur,HH_35,SRV_01,2024-05-01,4,1
V_002,Gopalpur,HH_36,SRV_01,2024-05-01,7,9
V_002,Gopalpur,HH_37,SRV_01,2024-05-01,0,1
V_002,Gopalpur,HH_38,SRV_01,2024-05-01,0,0
V_002,Gopalpur,HH_39,SRV_01,2024-05-01,0,8
V_002,Gopalpur,HH_40,SRV_01,2024-05-01,10,5
V_002,Gopalpur,HH_41,SRV_01,2024-05-01,5,7
V_002,Gopalpur,HH_42,SRV_01,2024-05-01,10,1
V_002,Gopalpur,HH_43,SRV_01,2024-05-01,10,6
V_002,Gopalpur,HH_44,SRV_01,2024-05-01,6,2
V_002,Gopalpur,HH_45,SRV_01,2024-05-01,6,4
V_002,Gopalpur,HH_46,SRV_01,2024-05-01,1,10
V_002,Gopalpur,HH_47,SRV_01,2024-05-01,2,4
V_002,Gopalpur,HH_48,SRV_01,2024-05-01,4,2
V_002,Gopalpur,HH_49,SRV_01,2024-05-01,0,10
V_002,Gopalpur,HH_50,SRV_01,2024-05-01,3,10
V_002,Gopalpur,HH_51,SRV_01,2024-05-01,6,9
V_002,Gopalpur,HH_52,SRV_01,2024-05-01,0,2
SYN_0,Synthetic Village 0,HH_53,SRV_01,2024-05-01,6,0
SYN_0,Synthetic Village 0,HH_54,SRV_01,2024-05-01,2,1
SYN_0,Synthetic Village 0,HH_55,SRV_01,2024-05-01,5,10
SYN_0,Synthetic Village 0,HH_56,SRV_01,2024-05-01,6,9
SYN_0,Synthetic Village 0,HH_57,SRV_01,2024-05-01,7,7
SYN_0,Synthetic Village 0,HH_58,SRV_01,2024-05-01,2,5
SYN_0,Synthetic Village 0,HH_59,SRV_01,2024-05-01,4,2
SYN_0,Synthetic Village 0,HH_60,SRV_01,2024-05-01,9,8
SYN_0,Synthetic Village 0,HH_61,SRV_01,2024-05-01,9,2
SYN_0,Synthetic Village 0,HH_62,SRV_01,2024-05-01,9,6
SYN_0,Synthetic Village 0,HH_63,SRV_01,2024-05-01,9,7
SYN_0,Synthetic Village 0,HH_64,SRV_01,2024-05-01,1,2
SYN_0,Synthetic Village 0,HH_65,SRV_01,2024-05-01,2,3
SYN_0,Synthetic Village 0,HH_66,SRV_01,2024-05-01,3,1
SYN_0,Synthetic Village 0,HH_67,SRV_01,2024-05-01,4,3
SYN_0,Synthetic Village 0,HH_68,SRV_01,2024-05-01,4,5
SYN_0,Synthetic Village 0,HH_69,SRV_01,2024-05-01,1,4
SYN_0,Synthetic Village 0,HH_70,SRV_01,2024-05-01,2,0
SYN_0,Synthetic Village 0,HH_71,SRV_01,2024-05-01,10,7
SYN_0,Synthetic Village 0,HH_72,SRV_01,2024-05-01,0,3
SYN_0,Synthetic Village 0,HH_73,SRV_01,2024-05-01,0,10
SYN_0,Synthetic Village 0,HH_74,SRV_01,2024-05-01,8,4
SYN_0,Synthetic Village 0,HH_75,SRV_01,2024-05-01,5,3
SYN_0,Synthetic Village 0,HH_76,SRV_01,2024-05-01,2,3
SYN_0,Synthetic Village 0,HH_77,SRV_01,2024-05-01,6,5
SYN_0,Synthetic Village 0,HH_78,SRV_01,2024-05-01,8,6
SYN_0,Synthetic Village 0,HH_79,SRV_01,2024-05-01,7,9
SYN_0,Synthetic Village 0,HH_80,SRV_01,2024-05-01,2,1
V_008,Mawlynnong,HH_81,SRV_01,2024-05-01,1,4
V_008,Mawlynnong,HH_82,SRV_01,2024-05-01,3,0
V_008,Mawlynnong,HH_83,SRV_01,2024-05-01,1,3
V_008,Mawlynnong,HH_84,SRV_01,2024-05-01,4,2
V_008,Mawlynnong,HH_85,SRV_01,2024-05-01,4,2
V_008,Mawlynnong,HH_86,SRV_01,2024-05-01,3,7
V_008,Mawlynnong,HH_87,SRV_01,2024-05-01,1,3
V_008,Mawlynnong,HH_88,SRV_01,2024-05-01,5,0
V_008,Mawlynnong,HH_89,SRV_01,2024-05-01,0,5
V_008,Mawlynnong,HH_90,SRV_01,2024-05-01,4,7
V_008,Mawlynnong,HH_91,SRV_01,2024-05-01,0,6
V_008,Mawlynnong,HH_92,SRV_01,2024-05-01,0,0
V_008,Mawlynnong,HH_93,SRV_01,2024-05-01,8,6
V_008,Mawlynnong,HH_94,SRV_01,2024-05-01,6,8
