village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
V_001,Bari,HH_1,SRV_01,2024-05-01,10,1
V_001,Bari,HH_2,SRV_01,2024-05-01,10,2
V_001,Bari,HH_3,SRV_01,2024-05-01,9,4
V_001,Bari,HH_4,SRV_01,2024-05-01,9,9
V_001,Bari,HH_5,SRV_01,2024-05-01,3,6
V_001,Bari,HH_6,SRV_01,2024-05-01,10,5
V_001,Bari,HH_7,SRV_01,2024-05-01,10,8
V_001,Bari,HH_8,SRV_01,2024-05-01,3,5
V_001,Bari,HH_9,SRV_01,2024-05-01,10,0
V_001,Bari,HH_10,SRV_01,2024-05-01,10,7
V_001,Bari,HH_11,SRV_01,2024-05-01,0,9
V_001,Bari,HH_12,SRV_01,2024-05-01,8,2
V_001,Bari,HH_13,SRV_01,2024-05-01,5,2
V_001,Bari,HH_14,SRV_01,2024-05-01,8,6
V_001,Bari,HH_15,SRV_01,2024-05-01,6,4
V_001,Bari,HH_16,SRV_01,2024-05-01,9,8
V_001,Bari,HH_17,SRV_01,2024-05-01,10,0
V_001,Bari,HH_18,SRV_01,2024-05-01,7,3
V_001,Bari,HH_19,SRV_01,2024-05-01,7,1
V_001,Bari,HH_20,SRV_01,2024-05-01,9,9
V_001,Bari,HH_21,SRV_01,2024-05-01,8,9
V_001,Bari,HH_22,SRV_01,2024-05-01,9,5
V_001,Bari,HH_23,SRV_01,2024-05-01,10,5
V_001,Bari,HH_24,SRV_01,2024-05-01,7,3
V_001,Bari,HH_25,SRV_01,2024-05-01,0,7
V_001,Bari,HH_26,SRV_01,2024-05-01,5,6
V_001,Bari,HH_27,SRV_01,2024-05-01,6,5
V_001,Bari,HH_28,SRV_01,2024-05-01,8,6
V_001,Bari,HH_29,SRV_01,2024-05-01,3,7
V_001,Bari,HH_30,SRV_01,2024-05-01,10,3
V_004,Nandur,HH_31,SRV_01,2024-05-01,4,6
V_004,Nandur,HH_32,SRV_01,2024-05-01,7,2
V_004,Nandur,HH_33,SRV_01,2024-05-01,4,1
V_004,Nandur,HH_34,SRV_01,2024-05-01,4,6
V_004,Nandur,HH_35,SRV_01,2024-05-01,1,2
V_004,Nandur,HH_36,SRV_01,2024-05-01,8,3
V_004,Nandur,HH_37,SRV_01,2024-05-01,0,9
V_004,Nandur,HH_38,SRV_01,2024-05-01,2,5
V_004,Nandur,HH_39,SRV_01,2024-05-01,7,0
V_004,Nandur,HH_40,SRV_01,2024-05-01,8,4
V_004,Nandur,HH_41,SRV_01,2024-05-01,1,3
V_004,Nandur,HH_42,SRV_01,2024-05-01,4,6
V_004,Nandur,HH_43,SRV_01,2024-05-01,4,8
V_004,Nandur,HH_44,SRV_01,2024-05-01,2,6
V_004,Nandur,HH_45,SRV_01,2024-05-01,2,2
V_004,Nandur,HH_46,SRV_01,2024-05-01,3,5
V_004,Nandur,HH_47,SRV_01,2024-05-01,3,1
V_004,Nandur,HH_48,SRV_01,2024-05-01,1,4
V_004,Nandur,HH_49,SRV_01,2024-05-01,9,10
V_004,Nandur,HH_50,SRV_01,2024-05-01,7,10
V_004,Nandur,HH_51,SRV_01,2024-05-01,5,9
V_004,Nandur,HH_52,SRV_01,2024-05-01,4,9
V_004,Nandur,HH_53,SRV_01,2024-05-01,1,8
V_004,Nandur,HH_54,SRV_01,2024-05-01,7,8
V_004,Nandur,HH_55,SRV_01,2024-05-01,1,4
V_004,Nandur,HH_56,SRV_01,2024-05-01,1,9
V_004,Nandur,HH_57,SRV_01,2024-05-01,5,1
V_004,Nandur,HH_58,SRV_01,2024-05-01,6,2
V_004,Nandur,HH_59,SRV_01,2024-05-01,3,7
V_004,Nandur,HH_60,SRV_01,2024-05-01,10,2
V_006,Palakkad,HH_61,SRV_01,2024-05-01,2,6
V_006,Palakkad,HH_62,SRV_01,2024-05-01,10,2
V_006,Palakkad,HH_63,SRV_01,2024-05-01,3,4
V_006,Palakkad,HH_64,SRV_01,2024-05-01,7,9
V_006,Palakkad,HH_65,SRV_01,2024-05-01,9,6
V_006,Palakkad,HH_66,SRV_01,2024-05-01,2,1
V_006,Palakkad,HH_67,SRV_01,2024-05-01,7,7
V_006,Palakkad,HH_68,SRV_01,2024-05-01,6,7
V_006,Palakkad,HH_69,SRV_01,2024-05-01,4,7
V_006,Palakkad,HH_70,SRV_01,2024-05-01,8,1
V_006,Palakkad,HH_71,SRV_01,2024-05-01,9,2
V_006,Palakkad,HH_72,SRV_01,2024-05-01,7,4
V_006,Palakkad,HH_73,SRV_01,2024-05-01,2,8
V_006,Palakkad,HH_74,SRV_01,2024-05-01,2,5
V_006,Palakkad,HH_75,SRV_01,2024-05-01,0,0
V_006,Palakkad,HH_76,SRV_01,2024-05-01,1,9
V_006,Palakkad,HH_77,SRV_01,2024-05-01,0,2
V_006,Palakkad,HH_78,SRV_01,2024-05-01,6,3
V_006,Palakkad,HH_79,SRV_01,2024-05-01,2,10
V_006,Palakkad,HH_80,SRV_01,2024-05-01,3,8
V_006,Palakkad,HH_81,SRV_01,2024-05-01,4,3
V_006,Palakkad,HH_82,SRV_01,2024-05-01,1,2
V_006,Palakkad,HH_83,SRV_01,2024-05-01,1,6
V_006,Palakkad,HH_84,SRV_01,2024-05-01,8,9
V_006,Palakkad,HH_85,SRV_01,2024-05-01,2,6
