village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
V_006,Palakkad,HH_1,SRV_01,2024-05-01,4,9
V_006,Palakkad,HH_2,SRV_01,2024-05-01,4,8
V_006,Palakkad,HH_3,SRV_01,2024-05-01,10,6
V_006,Palakkad,HH_4,SRV_01,2024-05-01,3,1
V_006,Palakkad,HH_5,SRV_01,2024-05-01,5,7
V_006,Palakkad,HH_6,SRV_01,2024-05-01,1,9
V_006,Palakkad,HH_7,SRV_01,2024-05-01,10,10
V_006,Palakkad,HH_8,SRV_01,2024-05-01,9,8
V_006,Palakkad,HH_9,SRV_01,2024-05-01,6,10
V_006,Palakkad,HH_10,SRV_01,2024-05-01,10,7
V_006,Palakkad,HH_11,SRV_01,2024-05-01,10,10
V_006,Palakkad,HH_12,SRV_01,2024-05-01,4,1
V_006,Palakkad,HH_13,SRV_01,2024-05-01,4,4
V_006,Palakkad,HH_14,SRV_01,2024-05-01,1,6
V_006,Palakkad,HH_15,SRV_01,2024-05-01,8,4
V_006,Palakkad,HH_16,SRV_01,2024-05-01,2,8
V_006,Palakkad,HH_17,SRV_01,2024-05-01,8,9
V_006,Palakkad,HH_18,SRV_01,2024-05-01,0,10
V_006,Palakkad,HH_19,SRV_01,2024-05-01,7,5
V_006,Palakkad,HH_20,SRV_01,2024-05-01,2,0
V_006,Palakkad,HH_21,SRV_01,2024-05-01,1,9
V_006,Palakkad,HH_22,SRV_01,2024-05-01,8,10
V_006,Palakkad,HH_23,SRV_01,2024-05-01,8,3
V_006,Palakkad,HH_24,SRV_01,2024-05-01,2,4
V_006,Palakkad,HH_25,SRV_01,2024-05-01,2,5
V_006,Palakkad,HH_26,SRV_01,2024-05-01,2,9
V_006,Palakkad,HH_27,SRV_01,2024-05-01,5,1
V_006,Palakkad,HH_28,SRV_01,2024-05-01,4,3
V_006,Palakkad,HH_29,SRV_01,2024-05-01,1,3
V_006,Palakkad,HH_30,SRV_01,2024-05-01,4,1
V_008,Mawlynnong,HH_31,SRV_01,2024-05-01,1,3
V_008,Mawlynnong,HH_32,SRV_01,2024-05-01,9,6
V_008,Mawlynnong,HH_33,SRV_01,2024-05-01,2,0
V_008,Mawlynnong,HH_34,SRV_01,2024-05-01,1,0
V_008,Mawlynnong,HH_35,SRV_01,2024-05-01,8,3
V_008,Mawlynnong,HH_36,SRV_01,2024-05-01,3,8
V_008,Mawlynnong,HH_37,SRV_01,2024-05-01,6,1
V_008,Mawlynnong,HH_38,SRV_01,2024-05-01,2,10
V_008,Mawlynnong,HH_39,SRV_01,2024-05-01,3,3
V_008,Mawlynnong,HH_40,SRV_01,2024-05-01,4,2
V_008,Mawlynnong,HH_41,SRV_01,2024-05-01,9,9
V_008,Mawlynnong,HH_42,SRV_01,2024-05-01,2,9
V_008,Mawlynnong,HH_43,SRV_01,2024-05-01,3,9
V_008,Mawlynnong,HH_44,SRV_01,2024-05-01,10,2
V_008,Mawlynnong,HH_45,SRV_01,2024-05-01,4,6
V_008,Mawlynnong,HH_46,SRV_01,2024-05-01,3,1
V_008,Mawlynnong,HH_47,SRV_01,2024-05-01,10,7
V_008,Mawlynnong,HH_48,SRV_01,2024-05-01,8,9
V_008,Mawlynnong,HH_49,SRV_01,2024-05-01,0,10
V_008,Mawlynnong,HH_50,SRV_01,2024-05-01,10,8
V_008,Mawlynnong,HH_51,SRV_01,2024-05-01,7,4
V_008,Mawlynnong,HH_52,SRV_01,2024-05-01,7,9
V_008,Mawlynnong,HH_53,SRV_01,2024-05-01,8,9
V_008,Mawlynnong,HH_54,SRV_01,2024-05-01,9,9
V_008,Mawlynnong,HH_55,SRV_01,2024-05-01,5,4
V_008,Mawlynnong,HH_56,SRV_01,2024-05-01,0,3
V_008,Mawlynnong,HH_57,SRV_01,2024-05-01,0,7
V_008,Mawlynnong,HH_58,SRV_01,2024-05-01,1,0
V_008,Mawlynnong,HH_59,SRV_01,2024-05-01,8,10
V_008,Mawlynnong,HH_60,SRV_01,2024-05-01,2,10
SYN_6,Synthetic Village 6,HH_61,SRV_01,2024-05-01,6,9
SYN_6,Synthetic Village 6,HH_62,SRV_01,2024-05-01,0,7
SYN_6,Synthetic Village 6,HH_63,SRV_01,2024-05-01,8,10
SYN_6,Synthetic Village 6,HH_64,SRV_01,2024-05-01,2,2
SYN_6,Synthetic Village 6,HH_65,SRV_01,2024-05-01,7,9
SYN_6,Synthetic Village 6,HH_66,SRV_01,2024-05-01,3,3
SYN_6,Synthetic Village 6,HH_67,SRV_01,2024-05-01,4,0
SYN_6,Synthetic Village 6,HH_68,SRV_01,2024-05-01,8,5
SYN_6,Synthetic Village 6,HH_69,SRV_01,2024-05-01,5,8
SYN_6,Synthetic Village 6,HH_70,SRV_01,2024-05-01,9,4
SYN_6,Synthetic Village 6,HH_71,SRV_01,2024-05-01,10,7
SYN_6,Synthetic Village 6,HH_72,SRV_01,2024-05-01,7,2
SYN_6,Synthetic Village 6,HH_73,SRV_01,2024-05-01,0,5
SYN_6,Synthetic Village 6,HH_74,SRV_01,2024-05-01,8,4
SYN_6,Synthetic Village 6,HH_75,SRV_01,2024-05-01,4,7
SYN_6,Synthetic Village 6,HH_76,SRV_01,2024-05-01,1,10
SYN_6,Synthetic Village 6,HH_77,SRV_01,2024-05-01,7,10
SYN_6,Synthetic Village 6,HH_78,SRV_01,2024-05-01,7,3
SYN_6,Synthetic Village 6,HH_79,SRV_01,2024-05-01,0,10
SYN_6,Synthetic Village 6,HH_80,SRV_01,2024-05-01,3,2
SYN_6,Synthetic Village 6,HH_81,SRV_01,2024-05-01,6,1
SYN_6,Synthetic Village 6,HH_82,SRV_01,2024-05-01,8,6
SYN_6,Synthetic Village 6,HH_83,SRV_01,2024-05-01,6,4
SYN_6,Synthetic Village 6,HH_84,SRV_01,2024-05-01,0,5
SYN_6,Synthetic Village 6,HH_85,SRV_01,2024-05-01,6,5
SYN_6,Synthetic Village 6,HH_86,SRV_01,2024-05-01,3,10
SYN_6,Synthetic Village 6,HH_87,SRV_01,2024-05-01,9,6
SYN_6,Synthetic Village 6,HH_88,SRV_01,2024-05-01,6,0
SYN_1,Synthetic Village 1,HH_89,SRV_01,2024-05-01,0,9
SYN_1,Synthetic Village 1,HH_90,SRV_01,2024-05-01,6,10
SYN_1,Synthetic Village 1,HH_91,SRV_01,2024-05-01,6,0
SYN_1,Synthetic Village 1,HH_92,SRV_01,2024-05-01,5,10
SYN_1,Synthetic Village 1,HH_93,SRV_01,2024-05-01,6,9
SYN_1,Synthetic Village 1,HH_94,SRV_01,2024-05-01,6,10
SYN_1,Synthetic Village 1,HH_95,SRV_01,2024-05-01,7,7
SYN_1,Synthetic Village 1,HH_96,SRV_01,2024-05-01,5,0
SYN_1,Synthetic Village 1,HH_97,SRV_01,2024-05-01,4,4
SYN_1,Synthetic Village 1,HH_98,SRV_01,2024-05-01,10,2
SYN_1,Synthetic Village 1,HH_99,SRV_01,2024-05-01,0,8
SYN_1,Synthetic Village 1,HH_100,SRV_01,2024-05-01,2,7
SYN_1,Synthetic Village 1,HH_101,SRV_01,2024-05-01,7,2
SYN_1,Synthetic Village 1,HH_102,SRV_01,2024-05-01,3,3
SYN_1,Synthetic Village 1,HH_103,SRV_01,2024-05-01,4,3
SYN_1,Synthetic Village 1,HH_104,SRV_01,2024-05-01,3,2
SYN_1,Synthetic Village 1,HH_105,SRV_01,2024-05-01,3,8
SYN_1,Synthetic Village 1,HH_106,SRV_01,2024-05-01,0,6
SYN_1,Synthetic Village 1,HH_107,SRV_01,2024-05-01,5,4
SYN_1,Synthetic Village 1,HH_108,SRV_01,2024-05-01,4,4
SYN_1,Synthetic Village 1,HH_109,SRV_01,2024-05-01,10,2
SYN_1,Synthetic Village 1,HH_110,SRV_01,2024-05-01,8,9
SYN_1,Synthetic Village 1,HH_111,SRV_01,2024-05-01,2,1
SYN_1,Synthetic Village 1,HH_112,SRV_01,2024-05-01,7,9
SYN_1,Synthetic Village 1,HH_113,SRV_01,2024-05-01,9,7
SYN_1,Synthetic Village 1,HH_114,SRV_01,2024-05-01,2,3
SYN_1,Synthetic Village 1,HH_115,SRV_01,2024-05-01,8,6
SYN_1,Synthetic Village 1,HH_116,SRV_01,2024-05-01,5,4
SYN_1,Synthetic Village 1,HH_117,SRV_01,2024-05-01,2,2
SYN_3,Synthetic Village 3,HH_118,SRV_01,2024-05-01,0,3
SYN_3,Synthetic Village 3,HH_119,SRV_01,2024-05-01,4,8
SYN_3,Synthetic Village 3,HH_120,SRV_01,2024-05-01,2,5
SYN_3,Synthetic Village 3,HH_121,SRV_01,2024-05-01,5,9
SYN_3,Synthetic Village 3,HH_122,SRV_01,2024-05-01,7,6
SYN_3,Synthetic Village 3,HH_123,SRV_01,2024-05-01,1,4
SYN_3,Synthetic Village 3,HH_124,SRV_01,2024-05-01,9,0
SYN_3,Synthetic Village 3,HH_125,SRV_01,2024-05-01,2,10
SYN_3,Synthetic Village 3,HH_126,SRV_01,2024-05-01,4,9
SYN_3,Synthetic Village 3,HH_127,SRV_01,2024-05-01,3,2
SYN_3,Synthetic Village 3,HH_128,SRV_01,2024-05-01,5,5
SYN_3,Synthetic Village 3,HH_129,SRV_01,2024-05-01,10,8
SYN_3,Synthetic Village 3,HH_130,SRV_01,2024-05-01,7,8
SYN_3,Synthetic Village 3,HH_131,SRV_01,2024-05-01,0,1
SYN_3,Synthetic Village 3,HH_132,SRV_01,2024-05-01,3,8
SYN_3,Synthetic Village 3,HH_133,SRV_01,2024-05-01,2,5
SYN_3,Synthetic Village 3,HH_134,SRV_01,2024-05-01,1,0
SYN_3,Synthetic Village 3,HH_135,SRV_01,2024-05-01,4,2
