village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_5,Synthetic Village 5,HH_1,SRV_01,2024-05-01,8,2
SYN_5,Synthetic Village 5,HH_2,SRV_01,2024-05-01,8,9
SYN_5,Synthetic Village 5,HH_3,SRV_01,2024-05-01,1,5
SYN_5,Synthetic Village 5,HH_4,SRV_01,2024-05-01,2,2
SYN_5,Synthetic Village 5,HH_5,SRV_01,2024-05-01,7,10
SYN_5,Synthetic Village 5,HH_6,SRV_01,2024-05-01,2,1
SYN_5,Synthetic Village 5,HH_7,SRV_01,2024-05-01,10,10
SYN_5,Synthetic Village 5,HH_8,SRV_01,2024-05-01,6,5
SYN_5,Synthetic Village 5,HH_9,SRV_01,2024-05-01,1,10
SYN_5,Synthetic Village 5,HH_10,SRV_01,2024-05-01,4,6
SYN_5,Synthetic Village 5,HH_11,SRV_01,2024-05-01,4,2
SYN_5,Synthetic Village 5,HH_12,SRV_01,2024-05-01,7,9
SYN_5,Synthetic Village 5,HH_13,SRV_01,2024-05-01,5,1
SYN_5,Synthetic Village 5,HH_14,SRV_01,2024-05-01,9,6
SYN_5,Synthetic Village 5,HH_15,SRV_01,2024-05-01,6,7
SYN_5,Synthetic Village 5,HH_16,SRV_01,2024-05-01,10,10
SYN_5,Synthetic Village 5,HH_17,SRV_01,2024-05-01,4,9
SYN_5,Synthetic Village 5,HH_18,SRV_01,2024-05-01,2,10
SYN_5,Synthetic Village 5,HH_19,SRV_01,2024-05-01,10,7
SYN_5,Synthetic Village 5,HH_20,SRV_01,2024-05-01,1,10
SYN_5,Synthetic Village 5,HH_21,SRV_01,2024-05-01,1,1
SYN_5,Synthetic Village 5,HH_22,SRV_01,2024-05-01,6,4
SYN_5,Synthetic Village 5,HH_23,SRV_01,2024-05-01,2,4
SYN_5,Synthetic Village 5,HH_24,SRV_01,2024-05-01,4,7
SYN_5,Synthetic Village 5,HH_25,SRV_01,2024-05-01,9,7
SYN_5,Synthetic Village 5,HH_26,SRV_01,2024-05-01,4,7
SYN_5,Synthetic Village 5,HH_27,SRV_01,2024-05-01,7,4
SYN_5,Synthetic Village 5,HH_28,SRV_01,2024-05-01,8,0
V_004,Nandur,HH_29,SRV_01,2024-05-01,0,9
V_004,Nandur,HH_30,SRV_01,2024-05-01,10,7
V_004,Nandur,HH_31,SRV_01,2024-05-01,6,5
V_004,Nandur,HH_32,SRV_01,2024-05-01,3,0
V_004,Nandur,HH_33,SRV_01,2024-05-01,4,6
V_004,Nandur,HH_34,SRV_01,2024-05-01,7,7
V_004,Nandur,HH_35,SRV_01,2024-05-01,5,7
V_004,Nandur,HH_36,SRV_01,2024-05-01,8,3
V_004,Nandur,HH_37,SRV_01,2024-05-01,0,7
V_004,Nandur,HH_38,SRV_01,2024-05-01,1,5
V_004,Nandur,HH_39,SRV_01,2024-05-01,1,1
V_004,Nandur,HH_40,SRV_01,2024-05-01,8,6
