village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_5,Synthetic Village 5,HH_1,SRV_01,2024-05-01,10,10
SYN_5,Synthetic Village 5,HH_2,SRV_01,2024-05-01,4,7
SYN_5,Synthetic Village 5,HH_3,SRV_01,2024-05-01,1,6
SYN_5,Synthetic Village 5,HH_4,SRV_01,2024-05-01,2,0
SYN_5,Synthetic Village 5,HH_5,SRV_01,2024-05-01,3,5
SYN_5,Synthetic Village 5,HH_6,SRV_01,2024-05-01,10,8
SYN_5,Synthetic Village 5,HH_7,SRV_01,2024-05-01,10,9
SYN_5,Synthetic Village 5,HH_8,SRV_01,2024-05-01,1,1
SYN_5,Synthetic Village 5,HH_9,SRV_01,2024-05-01,0,9
SYN_5,Synthetic Village 5,HH_10,SRV_01,2024-05-01,0,8
SYN_5,Synthetic Village 5,HH_11,SRV_01,2024-05-01,5,6
SYN_5,Synthetic Village 5,HH_12,SRV_01,2024-05-01,8,9
SYN_5,Synthetic Village 5,HH_13,SRV_01,2024-05-01,5,6
SYN_5,Synthetic Village 5,HH_14,SRV_01,2024-05-01,10,1
SYN_5,Synthetic Village 5,HH_15,SRV_01,2024-05-01,0,9
SYN_5,Synthetic Village 5,HH_16,SRV_01,2024-05-01,8,6
SYN_5,Synthetic Village 5,HH_17,SRV_01,2024-05-01,8,7
SYN_5,Synthetic Village 5,HH_18,SRV_01,2024-05-01,0,9
SYN_5,Synthetic Village 5,HH_19,SRV_01,2024-05-01,5,0
SYN_5,Synthetic Village 5,HH_20,SRV_01,2024-05-01,2,7
SYN_5,Synthetic Village 5,HH_21,SRV_01,2024-05-01,1,0
SYN_5,Synthetic Village 5,HH_22,SRV_01,2024-05-01,8,7
SYN_5,Synthetic Village 5,HH_23,SRV_01,2024-05-01,1,6
SYN_5,Synthetic Village 5,HH_24,SRV_01,2024-05-01,8,9
SYN_5,Synthetic Village 5,HH_25,SRV_01,2024-05-01,1,0
V_007,Koraput,HH_26,SRV_01,2024-05-01,4,5
V_007,Koraput,HH_27,SRV_01,2024-05-01,2,7
V_007,Koraput,HH_28,SRV_01,2024-05-01,1,5
V_007,Koraput,HH_29,SRV_01,2024-05-01,8,6
V_007,Koraput,HH_30,SRV_01,2024-05-01,1,7
V_007,Koraput,HH_31,SRV_01,2024-05-01,2,4
V_007,Koraput,HH_32,SRV_01,2024-05-01,1,1
V_007,Koraput,HH_33,SRV_01,2024-05-01,10,1
V_007,Koraput,HH_34,SRV_01,2024-05-01,7,7
V_007,Koraput,HH_35,SRV_01,2024-05-01,5,7
V_007,Koraput,HH_36,SRV_01,2024-05-01,9,2
V_007,Koraput,HH_37,SRV_01,2024-05-01,4,2
V_007,Koraput,HH_38,SRV_01,2024-05-01,6,0
V_007,Koraput,HH_39,SRV_01,2024-05-01,3,7
V_007,Koraput,HH_40,SRV_01,2024-05-01,5,4
V_007,Koraput,HH_41,SRV_01,2024-05-01,6,1
V_007,Koraput,HH_42,SRV_01,2024-05-01,6,5
V_007,Koraput,HH_43,SRV_01,2024-05-01,10,3
V_007,Koraput,HH_44,SRV_01,2024-05-01,9,7
V_007,Koraput,HH_45,SRV_01,2024-05-01,2,4
V_007,Koraput,HH_46,SRV_01,2024-05-01,9,6
V_007,Koraput,HH_47,SRV_01,2024-05-01,5,7
V_007,Koraput,HH_48,SRV_01,2024-05-01,1,4
V_007,Koraput,HH_49,SRV_01,2024-05-01,5,7
V_007,Koraput,HH_50,SRV_01,2024-05-01,7,4
V_007,Koraput,HH_51,SRV_01,2024-05-01,5,6
V_007,Koraput,HH_52,SRV_01,2024-05-01,8,0
V_007,Koraput,HH_53,SRV_01,2024-05-01,7,4
V_007,Koraput,HH_54,SRV_01,2024-05-01,9,10
V_007,Koraput,HH_55,SRV_01,2024-05-01,7,0
V_002,Gopalpur,HH_56,SRV_01,2024-05-01,1,7
V_002,Gopalpur,HH_57,SRV_01,2024-05-01,2,5
V_002,Gopalpur,HH_58,SRV_01,2024-05-01,9,10
V_002,Gopalpur,HH_59,SRV_01,2024-05-01,4,9
V_002,Gopalpur,HH_60,SRV_01,2024-05-01,10,9
V_002,Gopalpur,HH_61,SRV_01,2024-05-01,10,1
V_002,Gopalpur,HH_62,SRV_01,2024-05-01,9,4
V_002,Gopalpur,HH_63,SRV_01,2024-05-01,4,6
V_002,Gopalpur,HH_64,SRV_01,2024-05-01,6,5
V_002,Gopalpur,HH_65,SRV_01,2024-05-01,4,3
V_002,Gopalpur,HH_66,SRV_01,2024-05-01,4,2
V_002,Gopalpur,HH_67,SRV_01,2024-05-01,3,3
V_002,Gopalpur,HH_68,SRV_01,2024-05-01,7,1
V_002,Gopalpur,HH_69,SRV_01,2024-05-01,10,8
V_002,Gopalpur,HH_70,SRV_01,2024-05-01,5,10
V_002,Gopalpur,HH_71,SRV_01,2024-05-01,3,10
V_002,Gopalpur,HH_72,SRV_01,2024-05-01,1,5
V_002,Gopalpur,HH_73,SRV_01,2024-05-01,4,9
V_002,Gopalpur,HH_74,SRV_01,2024-05-01,0,4
V_002,Gopalpur,HH_75,SRV_01,2024-05-01,2,5
V_002,Gopalpur,HH_76,SRV_01,2024-05-01,9,6
V_002,Gopalpur,HH_77,SRV_01,2024-05-01,9,0
V_002,Gopalpur,HH_78,SRV_01,2024-05-01,4,10
V_002,Gopalpur,HH_79,SRV_01,2024-05-01,10,0
V_002,Gopalpur,HH_80,SRV_01,2024-05-01,0,1
V_002,Gopalpur,HH_81,SRV_01,2024-05-01,1,5
