village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_2,Synthetic Village 2,HH_1,SRV_01,2024-05-01,4,7
SYN_2,Synthetic Village 2,HH_2,SRV_01,2024-05-01,0,9
SYN_2,Synthetic Village 2,HH_3,SRV_01,2024-05-01,5,3
SYN_2,Synthetic Village 2,HH_4,SRV_01,2024-05-01,7,7
SYN_2,Synthetic Village 2,HH_5,SRV_01,2024-05-01,8,2
SYN_2,Synthetic Village 2,HH_6,SRV_01,2024-05-01,10,9
SYN_2,Synthetic Village 2,HH_7,SRV_01,2024-05-01,6,4
SYN_2,Synthetic Village 2,HH_8,SRV_01,2024-05-01,10,0
SYN_2,Synthetic Village 2,HH_9,SRV_01,2024-05-01,0,3
SYN_2,Synthetic Village 2,HH_10,SRV_01,2024-05-01,2,2
SYN_2,Synthetic Village 2,HH_11,SRV_01,2024-05-01,3,7
SYN_2,Synthetic Village 2,HH_12,SRV_01,2024-05-01,5,9
SYN_2,Synthetic Village 2,HH_13,SRV_01,2024-05-01,5,10
SYN_2,Synthetic Village 2,HH_14,SRV_01,2024-05-01,4,5
SYN_2,Synthetic Village 2,HH_15,SRV_01,2024-05-01,9,0
SYN_2,Synthetic Village 2,HH_16,SRV_01,2024-05-01,1,5
SYN_2,Synthetic Village 2,HH_17,SRV_01,2024-05-01,2,10
SYN_2,Synthetic Village 2,HH_18,SRV_01,2024-05-01,1,10
SYN_2,Synthetic Village 2,HH_19,SRV_01,2024-05-01,4,6
SYN_2,Synthetic Village 2,HH_20,SRV_01,2024-05-01,5,3
SYN_2,Synthetic Village 2,HH_21,SRV_01,2024-05-01,3,0
SYN_2,Synthetic Village 2,HH_22,SRV_01,2024-05-01,1,4
SYN_2,Synthetic Village 2,HH_23,SRV_01,2024-05-01,0,9
SYN_2,Synthetic Village 2,HH_24,SRV_01,2024-05-01,1,2
SYN_2,Synthetic Village 2,HH_25,SRV_01,2024-05-01,1,3
SYN_2,Synthetic Village 2,HH_26,SRV_01,2024-05-01,5,5
SYN_2,Synthetic Village 2,HH_27,SRV_01,2024-05-01,4,8
SYN_2,Synthetic Village 2,HH_28,SRV_01,2024-05-01,1,1
SYN_2,Synthetic Village 2,HH_29,SRV_01,2024-05-01,2,5
SYN_2,Synthetic Village 2,HH_30,SRV_01,2024-05-01,7,5
V_008,Mawlynnong,HH_31,SRV_01,2024-05-01,6,9
V_008,Mawlynnong,HH_32,SRV_01,2024-05-01,5,9
V_008,Mawlynnong,HH_33,SRV_01,2024-05-01,9,0
V_008,Mawlynnong,HH_34,SRV_01,2024-05-01,6,3
V_008,Mawlynnong,HH_35,SRV_01,2024-05-01,5,0
V_008,Mawlynnong,HH_36,SRV_01,2024-05-01,3,3
V_008,Mawlynnong,HH_37,SRV_01,2024-05-01,3,6
V_008,Mawlynnong,HH_38,SRV_01,2024-05-01,4,7
V_008,Mawlynnong,HH_39,SRV_01,2024-05-01,8,9
V_008,Mawlynnong,HH_40,SRV_01,2024-05-01,8,10
V_008,Mawlynnong,HH_41,SRV_01,2024-05-01,3,1
V_008,Mawlynnong,HH_42,SRV_01,2024-05-01,4,3
V_008,Mawlynnong,HH_43,SRV_01,2024-05-01,5,9
V_008,Mawlynnong,HH_44,SRV_01,2024-05-01,1,6
V_008,Mawlynnong,HH_45,SRV_01,2024-05-01,0,8
V_008,Mawlynnong,HH_46,SRV_01,2024-05-01,7,10
V_008,Mawlynnong,HH_47,SRV_01,2024-05-01,5,1
V_008,Mawlynnong,HH_48,SRV_01,2024-05-01,4,2
V_008,Mawlynnong,HH_49,SRV_01,2024-05-01,4,6
V_008,Mawlynnong,HH_50,SRV_01,2024-05-01,0,0
V_008,Mawlynnong,HH_51,SRV_01,2024-05-01,8,6
V_008,Mawlynnong,HH_52,SRV_01,2024-05-01,10,2
V_008,Mawlynnong,HH_53,SRV_01,2024-05-01,0,10
V_008,Mawlynnong,HH_54,SRV_01,2024-05-01,1,8
V_008,Mawlynnong,HH_55,SRV_01,2024-05-01,6,7
V_008,Mawlynnong,HH_56,SRV_01,2024-05-01,0,6
SYN_4,Synthetic Village 4,HH_57,SRV_01,2024-05-01,10,0
SYN_4,Synthetic Village 4,HH_58,SRV_01,2024-05-01,6,4
SYN_4,Synthetic Village 4,HH_59,SRV_01,2024-05-01,7,7
SYN_4,Synthetic Village 4,HH_60,SRV_01,2024-05-01,8,4
SYN_4,Synthetic Village 4,HH_61,SRV_01,2024-05-01,2,9
SYN_4,Synthetic Village 4,HH_62,SRV_01,2024-05-01,5,7
SYN_4,Synthetic Village 4,HH_63,SRV_01,2024-05-01,0,10
SYN_4,Synthetic Village 4,HH_64,SRV_01,2024-05-01,8,8
SYN_4,Synthetic Village 4,HH_65,SRV_01,2024-05-01,10,9
SYN_4,Synthetic Village 4,HH_66,SRV_01,2024-05-01,4,6
SYN_4,Synthetic Village 4,HH_67,SRV_01,2024-05-01,6,7
SYN_4,Synthetic Village 4,HH_68,SRV_01,2024-05-01,6,1
SYN_4,Synthetic Village 4,HH_69,SRV_01,2024-05-01,4,10
SYN_4,Synthetic Village 4,HH_70,SRV_01,2024-05-01,2,3
SYN_4,Synthetic Village 4,HH_71,SRV_01,2024-05-01,4,1
SYN_4,Synthetic Village 4,HH_72,SRV_01,2024-05-01,1,4
SYN_4,Synthetic Village 4,HH_73,SRV_01,2024-05-01,3,9
