village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
V_002,Gopalpur,HH_1,SRV_01,2024-05-01,1,0
V_002,Gopalpur,HH_2,SRV_01,2024-05-01,7,0
V_002,Gopalpur,HH_3,SRV_01,2024-05-01,0,10
V_002,Gopalpur,HH_4,SRV_01,2024-05-01,9,5
V_002,Gopalpur,HH_5,SRV_01,2024-05-01,6,7
V_002,Gopalpur,HH_6,SRV_01,2024-05-01,8,0
V_002,Gopalpur,HH_7,SRV_01,2024-05-01,7,10
V_002,Gopalpur,HH_8,SRV_01,2024-05-01,1,8
V_002,Gopalpur,HH_9,SRV_01,2024-05-01,7,4
V_002,Gopalpur,HH_10,SRV_01,2024-05-01,6,5
V_002,Gopalpur,HH_11,SRV_01,2024-05-01,10,7
V_002,Gopalpur,HH_12,SRV_01,2024-05-01,6,1
V_002,Gopalpur,HH_13,SRV_01,2024-05-01,6,0
V_002,Gopalpur,HH_14,SRV_01,2024-05-01,7,2
V_002,Gopalpur,HH_15,SRV_01,2024-05-01,0,6
V_002,Gopalpur,HH_16,SRV_01,2024-05-01,3,2
V_002,Gopalpur,HH_17,SRV_01,2024-05-01,1,1
V_002,Gopalpur,HH_18,SRV_01,2024-05-01,9,3
V_002,Gopalpur,HH_19,SRV_01,2024-05-01,2,5
V_002,Gopalpur,HH_20,SRV_01,2024-05-01,10,9
V_002,Gopalpur,HH_21,SRV_01,2024-05-01,5,10
V_002,Gopalpur,HH_22,SRV_01,2024-05-01,0,8
V_002,Gopalpur,HH_23,SRV_01,2024-05-01,7,4
V_002,Gopalpur,HH_24,SRV_01,2024-05-01,4,7
V_002,Gopalpur,HH_25,SRV_01,2024-05-01,10,7
V_002,Gopalpur,HH_26,SRV_01,2024-05-01,6,2
V_002,Gopalpur,HH_27,SRV_01,2024-05-01,5,10
V_002,Gopalpur,HH_28,SRV_01,2024-05-01,1,7
V_002,Gopalpur,HH_29,SRV_01,2024-05-01,7,9
V_005,Dantewada,HH_30,SRV_01,2024-05-01,8,5
V_005,Dantewada,HH_31,SRV_01,2024-05-01,6,2
V_005,Dantewada,HH_32,SRV_01,2024-05-01,4,3
V_005,Dantewada,HH_33,SRV_01,2024-05-01,0,9
V_005,Dantewada,HH_34,SRV_01,2024-05-01,9,0
V_005,Dantewada,HH_35,SRV_01,2024-05-01,0,6
V_005,Dantewada,HH_36,SRV_01,2024-05-01,8,5
V_005,Dantewada,HH_37,SRV_01,2024-05-01,3,1
V_005,Dantewada,HH_38,SRV_01,2024-05-01,1,1
V_005,Dantewada,HH_39,SRV_01,2024-05-01,1,6
V_005,Dantewada,HH_40,SRV_01,2024-05-01,6,7
V_005,Dantewada,HH_41,SRV_01,2024-05-01,3,9
V_005,Dantewada,HH_42,SRV_01,2024-05-01,1,5
V_005,Dantewada,HH_43,SRV_01,2024-05-01,8,2
V_005,Dantewada,HH_44,SRV_01,2024-05-01,6,0
V_005,Dantewada,HH_45,SRV_01,2024-05-01,5,10
V_005,Dantewada,HH_46,SRV_01,2024-05-01,10,5
V_005,Dantewada,HH_47,SRV_01,2024-05-01,6,10
V_005,Dantewada,HH_48,SRV_01,2024-05-01,9,8
V_005,Dantewada,HH_49,SRV_01,2024-05-01,8,7
V_005,Dantewada,HH_50,SRV_01,2024-05-01,7,8
V_005,Dantewada,HH_51,SRV_01,2024-05-01,6,7
V_005,Dantewada,HH_52,SRV_01,2024-05-01,9,9
V_005,Dantewada,HH_53,SRV_01,2024-05-01,6,9
V_005,Dantewada,HH_54,SRV_01,2024-05-01,7,5
V_005,Dantewada,HH_55,SRV_01,2024-05-01,7,1
V_005,Dantewada,HH_56,SRV_01,2024-05-01,7,2
V_005,Dantewada,HH_57,SRV_01,2024-05-01,10,9
V_005,Dantewada,HH_58,SRV_01,2024-05-01,5,10
SYN_5,Synthetic Village 5,HH_59,SRV_01,2024-05-01,10,0
SYN_5,Synthetic Village 5,HH_60,SRV_01,2024-05-01,9,8
SYN_5,Synthetic Village 5,HH_61,SRV_01,2024-05-01,5,6
SYN_5,Synthetic Village 5,HH_62,SRV_01,2024-05-01,0,10
SYN_5,Synthetic Village 5,HH_63,SRV_01,2024-05-01,4,8
SYN_5,Synthetic Village 5,HH_64,SRV_01,2024-05-01,10,1
SYN_5,Synthetic Village 5,HH_65,SRV_01,2024-05-01,4,10
SYN_5,Synthetic Village 5,HH_66,SRV_01,2024-05-01,3,5
SYN_5,Synthetic Village 5,HH_67,SRV_01,2024-05-01,5,10
SYN_5,Synthetic Village 5,HH_68,SRV_01,2024-05-01,0,10
SYN_5,Synthetic Village 5,HH_69,SRV_01,2024-05-01,6,1
SYN_5,Synthetic Village 5,HH_70,SRV_01,2024-05-01,8,4
SYN_5,Synthetic Village 5,HH_71,SRV_01,2024-05-01,5,5
SYN_5,Synthetic Village 5,HH_72,SRV_01,2024-05-01,10,6
SYN_5,Synthetic Village 5,HH_73,SRV_01,2024-05-01,9,10
SYN_5,Synthetic Village 5,HH_74,SRV_01,2024-05-01,2,9
