village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
V_002,Gopalpur,HH_1,SRV_01,2024-05-01,1,2
V_002,Gopalpur,HH_2,SRV_01,2024-05-01,5,0
V_002,Gopalpur,HH_3,SRV_01,2024-05-01,5,9
V_002,Gopalpur,HH_4,SRV_01,2024-05-01,10,9
V_002,Gopalpur,HH_5,SRV_01,2024-05-01,4,4
V_002,Gopalpur,HH_6,SRV_01,2024-05-01,7,5
V_002,Gopalpur,HH_7,SRV_01,2024-05-01,4,4
V_002,Gopalpur,HH_8,SRV_01,2024-05-01,1,7
V_002,Gopalpur,HH_9,SRV_01,2024-05-01,7,4
V_002,Gopalpur,HH_10,SRV_01,2024-05-01,1,5
V_002,Gopalpur,HH_11,SRV_01,2024-05-01,0,3
V_002,Gopalpur,HH_12,SRV_01,2024-05-01,4,10
V_002,Gopalpur,HH_13,SRV_01,2024-05-01,0,1
V_002,Gopalpur,HH_14,SRV_01,2024-05-01,0,5
V_002,Gopalpur,HH_15,SRV_01,2024-05-01,5,8
V_002,Gopalpur,HH_16,SRV_01,2024-05-01,3,6
V_002,Gopalpur,HH_17,SRV_01,2024-05-01,10,4
V_002,Gopalpur,HH_18,SRV_01,2024-05-01,8,8
V_002,Gopalpur,HH_19,SRV_01,2024-05-01,7,4
V_002,Gopalpur,HH_20,SRV_01,2024-05-01,4,2
V_002,Gopalpur,HH_21,SRV_01,2024-05-01,7,7
V_002,Gopalpur,HH_22,SRV_01,2024-05-01,8,5
V_002,Gopalpur,HH_23,SRV_01,2024-05-01,0,3
V_002,Gopalpur,HH_24,SRV_01,2024-05-01,5,5
V_002,Gopalpur,HH_25,SRV_01,2024-05-01,6,1
V_002,Gopalpur,HH_26,SRV_01,2024-05-01,4,10
V_003,Kheda,HH_27,SRV_01,2024-05-01,4,7
V_003,Kheda,HH_28,SRV_01,2024-05-01,10,3
V_003,Kheda,HH_29,SRV_01,2024-05-01,0,9
V_003,Kheda,HH_30,SRV_01,2024-05-01,5,0
V_003,Kheda,HH_31,SRV_01,2024-05-01,0,10
V_003,Kheda,HH_32,SRV_01,2024-05-01,3,9
V_003,Kheda,HH_33,SRV_01,2024-05-01,1,6
V_003,Kheda,HH_34,SRV_01,2024-05-01,0,5
V_003,Kheda,HH_35,SRV_01,2024-05-01,1,0
V_003,Kheda,HH_36,SRV_01,2024-05-01,1,1
V_003,Kheda,HH_37,SRV_01,2024-05-01,0,6
V_003,Kheda,HH_38,SRV_01,2024-05-01,9,0
V_003,Kheda,HH_39,SRV_01,2024-05-01,10,6
V_003,Kheda,HH_40,SRV_01,2024-05-01,5,1
V_003,Kheda,HH_41,SRV_01,2024-05-01,2,0
V_003,Kheda,HH_42,SRV_01,2024-05-01,7,4
V_003,Kheda,HH_43,SRV_01,2024-05-01,3,4
V_003,Kheda,HH_44,SRV_01,2024-05-01,2,3
V_003,Kheda,HH_45,SRV_01,2024-05-01,4,3
V_003,Kheda,HH_46,SRV_01,2024-05-01,10,10
V_003,Kheda,HH_47,SRV_01,2024-05-01,9,5
