village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
V_006,Palakkad,HH_1,SRV_01,2024-05-01,7,6
V_006,Palakkad,HH_2,SRV_01,2024-05-01,1,1
V_006,Palakkad,HH_3,SRV_01,2024-05-01,6,10
V_006,Palakkad,HH_4,SRV_01,2024-05-01,5,9
V_006,Palakkad,HH_5,SRV_01,2024-05-01,7,2
V_006,Palakkad,HH_6,SRV_01,2024-05-01,7,5
V_006,Palakkad,HH_7,SRV_01,2024-05-01,7,7
V_006,Palakkad,HH_8,SRV_01,2024-05-01,3,9
V_006,Palakkad,HH_9,SRV_01,2024-05-01,10,9
V_006,Palakkad,HH_10,SRV_01,2024-05-01,9,4
V_006,Palakkad,HH_11,SRV_01,2024-05-01,4,7
V_006,Palakkad,HH_12,SRV_01,2024-05-01,1,0
V_006,Palakkad,HH_13,SRV_01,2024-05-01,1,7
V_006,Palakkad,HH_14,SRV_01,2024-05-01,9,1
V_006,Palakkad,HH_15,SRV_01,2024-05-01,2,5
V_006,Palakkad,HH_16,SRV_01,2024-05-01,5,3
V_006,Palakkad,HH_17,SRV_01,2024-05-01,8,7
V_006,Palakkad,HH_18,SRV_01,2024-05-01,2,0
V_006,Palakkad,HH_19,SRV_01,2024-05-01,4,8
V_006,Palakkad,HH_20,SRV_01,2024-05-01,0,8
V_006,Palakkad,HH_21,SRV_01,2024-05-01,1,3
V_006,Palakkad,HH_22,SRV_01,2024-05-01,4,1
V_006,Palakkad,HH_23,SRV_01,2024-05-01,2,8
V_006,Palakkad,HH_24,SRV_01,2024-05-01,7,10
V_006,Palakkad,HH_25,SRV_01,2024-05-01,5,0
V_006,Palakkad,HH_26,SRV_01,2024-05-01,0,8
V_006,Palakkad,HH_27,SRV_01,2024-05-01,0,1
V_006,Palakkad,HH_28,SRV_01,2024-05-01,7,5
V_006,Palakkad,HH_29,SRV_01,2024-05-01,8,6
V_006,Palakkad,HH_30,SRV_01,2024-05-01,10,4
V_007,Koraput,HH_31,SRV_01,2024-05-01,3,1
V_007,Koraput,HH_32,SRV_01,2024-05-01,9,6
V_007,Koraput,HH_33,SRV_01,2024-05-01,1,5
V_007,Koraput,HH_34,SRV_01,2024-05-01,2,6
V_007,Koraput,HH_35,SRV_01,2024-05-01,9,0
V_007,Koraput,HH_36,SRV_01,2024-05-01,7,2
V_007,Koraput,HH_37,SRV_01,2024-05-01,7,3
V_007,Koraput,HH_38,SRV_01,2024-05-01,0,4
V_007,Koraput,HH_39,SRV_01,2024-05-01,2,9
V_007,Koraput,HH_40,SRV_01,2024-05-01,7,0
V_007,Koraput,HH_41,SRV_01,2024-05-01,3,6
V_007,Koraput,HH_42,SRV_01,2024-05-01,4,7
V_007,Koraput,HH_43,SRV_01,2024-05-01,5,5
V_007,Koraput,HH_44,SRV_01,2024-05-01,10,2
V_007,Koraput,HH_45,SRV_01,2024-05-01,3,5
V_007,Koraput,HH_46,SRV_01,2024-05-01,3,8
V_007,Koraput,HH_47,SRV_01,2024-05-01,0,7
V_007,Koraput,HH_48,SRV_01,2024-05-01,2,10
V_007,Koraput,HH_49,SRV_01,2024-05-01,9,9
V_007,Koraput,HH_50,SRV_01,2024-05-01,0,6
V_007,Koraput,HH_51,SRV_01,2024-05-01,2,9
V_007,Koraput,HH_52,SRV_01,2024-05-01,10,4
V_007,Koraput,HH_53,SRV_01,2024-05-01,4,5
V_007,Koraput,HH_54,SRV_01,2024-05-01,3,6
V_007,Koraput,HH_55,SRV_01,2024-05-01,7,4
V_007,Koraput,HH_56,SRV_01,2024-05-01,10,3
V_001,Bari,HH_57,SRV_01,2024-05-01,8,10
V_001,Bari,HH_58,SRV_01,2024-05-01,6,2
V_001,Bari,HH_59,SRV_01,2024-05-01,8,0
V_001,Bari,HH_60,SRV_01,2024-05-01,2,10
V_001,Bari,HH_61,SRV_01,2024-05-01,8,5
V_001,Bari,HH_62,SRV_01,2024-05-01,0,10
V_001,Bari,HH_63,SRV_01,2024-05-01,0,1
V_001,Bari,HH_64,SRV_01,2024-05-01,1,7
V_001,Bari,HH_65,SRV_01,2024-05-01,8,1
V_001,Bari,HH_66,SRV_01,2024-05-01,2,6
V_001,Bari,HH_67,SRV_01,2024-05-01,4,7
V_001,Bari,HH_68,SRV_01,2024-05-01,0,10
V_001,Bari,HH_69,SRV_01,2024-05-01,10,9
V_001,Bari,HH_70,SRV_01,2024-05-01,3,7
V_001,Bari,HH_71,SRV_01,2024-05-01,6,1
V_001,Bari,HH_72,SRV_01,2024-05-01,7,6
V_001,Bari,HH_73,SRV_01,2024-05-01,10,10
V_001,Bari,HH_74,SRV_01,2024-05-01,8,2
V_001,Bari,HH_75,SRV_01,2024-05-01,10,3
V_001,Bari,HH_76,SRV_01,2024-05-01,0,10
V_001,Bari,HH_77,SRV_01,2024-05-01,1,4
V_001,Bari,HH_78,SRV_01,2024-05-01,5,4
V_001,Bari,HH_79,SRV_01,2024-05-01,5,5
V_001,Bari,HH_80,SRV_01,2024-05-01,0,2
V_001,Bari,HH_81,SRV_01,2024-05-01,5,10
V_001,Bari,HH_82,SRV_01,2024-05-01,5,6
V_001,Bari,HH_83,SRV_01,2024-05-01,8,7
V_001,Bari,HH_84,SRV_01,2024-05-01,0,1
V_001,Bari,HH_85,SRV_01,2024-05-01,2,8
V_001,Bari,HH_86,SRV_01,2024-05-01,9,1
V_002,Gopalpur,HH_87,SRV_01,2024-05-01,5,9
V_002,Gopalpur,HH_88,SRV_01,2024-05-01,9,6
V_002,Gopalpur,HH_89,SRV_01,2024-05-01,0,4
V_002,Gopalpur,HH_90,SRV_01,2024-05-01,1,1
V_002,Gopalpur,HH_91,SRV_01,2024-05-01,10,9
V_002,Gopalpur,HH_92,SRV_01,2024-05-01,4,1
V_002,Gopalpur,HH_93,SRV_01,2024-05-01,10,1
V_002,Gopalpur,HH_94,SRV_01,2024-05-01,7,5
V_002,Gopalpur,HH_95,SRV_01,2024-05-01,5,2
V_002,Gopalpur,HH_96,SRV_01,2024-05-01,1,4
V_002,Gopalpur,HH_97,SRV_01,2024-05-01,1,4
V_002,Gopalpur,HH_98,SRV_01,2024-05-01,5,10
V_002,Gopalpur,HH_99,SRV_01,2024-05-01,4,6
V_002,Gopalpur,HH_100,SRV_01,2024-05-01,7,3
V_002,Gopalpur,HH_101,SRV_01,2024-05-01,2,4
V_002,Gopalpur,HH_102,SRV_01,2024-05-01,8,5
V_002,Gopalpur,HH_103,SRV_01,2024-05-01,2,5
V_002,Gopalpur,HH_104,SRV_01,2024-05-01,7,5
V_002,Gopalpur,HH_105,SRV_01,2024-05-01,3,2
V_002,Gopalpur,HH_106,SRV_01,2024-05-01,3,2
V_002,Gopalpur,HH_107,SRV_01,2024-05-01,5,6
V_002,Gopalpur,HH_108,SRV_01,2024-05-01,9,8
V_002,Gopalpur,HH_109,SRV_01,2024-05-01,0,6
V_002,Gopalpur,HH_110,SRV_01,2024-05-01,1,0
V_002,Gopalpur,HH_111,SRV_01,2024-05-01,2,1
V_002,Gopalpur,HH_112,SRV_01,2024-05-01,9,2
