village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
V_005,Dantewada,HH_1,SRV_01,2024-05-01,1,2
V_005,Dantewada,HH_2,SRV_01,2024-05-01,1,1
V_005,Dantewada,HH_3,SRV_01,2024-05-01,6,0
V_005,Dantewada,HH_4,SRV_01,2024-05-01,8,2
V_005,Dantewada,HH_5,SRV_01,2024-05-01,10,7
V_005,Dantewada,HH_6,SRV_01,2024-05-01,4,0
V_005,Dantewada,HH_7,SRV_01,2024-05-01,1,8
V_005,Dantewada,HH_8,SRV_01,2024-05-01,0,7
V_005,Dantewada,HH_9,SRV_01,2024-05-01,1,5
V_005,Dantewada,HH_10,SRV_01,2024-05-01,0,2
V_005,Dantewada,HH_11,SRV_01,2024-05-01,0,7
V_005,Dantewada,HH_12,SRV_01,2024-05-01,9,3
V_005,Dantewada,HH_13,SRV_01,2024-05-01,5,8
V_005,Dantewada,HH_14,SRV_01,2024-05-01,7,2
V_005,Dantewada,HH_15,SRV_01,2024-05-01,10,3
V_005,Dantewada,HH_16,SRV_01,2024-05-01,1,0
V_005,Dantewada,HH_17,SRV_01,2024-05-01,1,5
V_005,Dantewada,HH_18,SRV_01,2024-05-01,2,1
V_005,Dantewada,HH_19,SRV_01,2024-05-01,7,3
V_005,Dantewada,HH_20,SRV_01,2024-05-01,0,5
V_005,Dantewada,HH_21,SRV_01,2024-05-01,9,1
V_005,Dantewada,HH_22,SRV_01,2024-05-01,2,10
V_005,Dantewada,HH_23,SRV_01,2024-05-01,3,4
V_005,Dantewada,HH_24,SRV_01,2024-05-01,8,3
V_005,Dantewada,HH_25,SRV_01,2024-05-01,3,8
V_005,Dantewada,HH_26,SRV_01,2024-05-01,9,1
V_005,Dantewada,HH_27,SRV_01,2024-05-01,7,2
V_005,Dantewada,HH_28,SRV_01,2024-05-01,6,3
V_005,Dantewada,HH_29,SRV_01,2024-05-01,8,0
SYN_2,Synthetic Village 2,HH_30,SRV_01,2024-05-01,3,10
SYN_2,Synthetic Village 2,HH_31,SRV_01,2024-05-01,3,8
SYN_2,Synthetic Village 2,HH_32,SRV_01,2024-05-01,1,5
SYN_2,Synthetic Village 2,HH_33,SRV_01,2024-05-01,1,3
SYN_2,Synthetic Village 2,HH_34,SRV_01,2024-05-01,5,9
SYN_2,Synthetic Village 2,HH_35,SRV_01,2024-05-01,3,4
SYN_2,Synthetic Village 2,HH_36,SRV_01,2024-05-01,8,5
SYN_2,Synthetic Village 2,HH_37,SRV_01,2024-05-01,9,5
SYN_2,Synthetic Village 2,HH_38,SRV_01,2024-05-01,6,5
SYN_2,Synthetic Village 2,HH_39,SRV_01,2024-05-01,6,7
SYN_2,Synthetic Village 2,HH_40,SRV_01,2024-05-01,9,8
SYN_2,Synthetic Village 2,HH_41,SRV_01,2024-05-01,7,4
SYN_2,Synthetic Village 2,HH_42,SRV_01,2024-05-01,10,9
SYN_2,Synthetic Village 2,HH_43,SRV_01,2024-05-01,6,5
SYN_2,Synthetic Village 2,HH_44,SRV_01,2024-05-01,2,10
SYN_2,Synthetic Village 2,HH_45,SRV_01,2024-05-01,5,7
SYN_2,Synthetic Village 2,HH_46,SRV_01,2024-05-01,7,6
SYN_2,Synthetic Village 2,HH_47,SRV_01,2024-05-01,1,3
SYN_2,Synthetic Village 2,HH_48,SRV_01,2024-05-01,6,5
SYN_2,Synthetic Village 2,HH_49,SRV_01,2024-05-01,3,8
SYN_2,Synthetic Village 2,HH_50,SRV_01,2024-05-01,8,2
SYN_2,Synthetic Village 2,HH_51,SRV_01,2024-05-01,3,10
SYN_2,Synthetic Village 2,HH_52,SRV_01,2024-05-01,10,8
SYN_2,Synthetic Village 2,HH_53,SRV_01,2024-05-01,0,0
SYN_2,Synthetic Village 2,HH_54,SRV_01,2024-05-01,4,5
SYN_2,Synthetic Village 2,HH_55,SRV_01,2024-05-01,6,4
SYN_2,Synthetic Village 2,HH_56,SRV_01,2024-05-01,3,2
SYN_2,Synthetic Village 2,HH_57,SRV_01,2024-05-01,3,0
SYN_2,Synthetic Village 2,HH_58,SRV_01,2024-05-01,1,0
SYN_2,Synthetic Village 2,HH_59,SRV_01,2024-05-01,7,7
SYN_6,Synthetic Village 6,HH_60,SRV_01,2024-05-01,2,5
SYN_6,Synthetic Village 6,HH_61,SRV_01,2024-05-01,9,6
SYN_6,Synthetic Village 6,HH_62,SRV_01,2024-05-01,9,6
SYN_6,Synthetic Village 6,HH_63,SRV_01,2024-05-01,8,3
SYN_6,Synthetic Village 6,HH_64,SRV_01,2024-05-01,7,10
SYN_6,Synthetic Village 6,HH_65,SRV_01,2024-05-01,1,3
SYN_6,Synthetic Village 6,HH_66,SRV_01,2024-05-01,4,1
SYN_6,Synthetic Village 6,HH_67,SRV_01,2024-05-01,1,5
SYN_6,Synthetic Village 6,HH_68,SRV_01,2024-05-01,0,4
SYN_6,Synthetic Village 6,HH_69,SRV_01,2024-05-01,1,8
SYN_6,Synthetic Village 6,HH_70,SRV_01,2024-05-01,3,3
SYN_6,Synthetic Village 6,HH_71,SRV_01,2024-05-01,6,7
SYN_6,Synthetic Village 6,HH_72,SRV_01,2024-05-01,4,5
SYN_6,Synthetic Village 6,HH_73,SRV_01,2024-05-01,4,9
SYN_6,Synthetic Village 6,HH_74,SRV_01,2024-05-01,5,4
SYN_6,Synthetic Village 6,HH_75,SRV_01,2024-05-01,10,7
SYN_6,Synthetic Village 6,HH_76,SRV_01,2024-05-01,5,6
SYN_6,Synthetic Village 6,HH_77,SRV_01,2024-05-01,9,7
SYN_6,Synthetic Village 6,HH_78,SRV_01,2024-05-01,9,0
SYN_6,Synthetic Village 6,HH_79,SRV_01,2024-05-01,3,10
SYN_6,Synthetic Village 6,HH_80,SRV_01,2024-05-01,2,10
SYN_6,Synthetic Village 6,HH_81,SRV_01,2024-05-01,6,1
SYN_6,Synthetic Village 6,HH_82,SRV_01,2024-05-01,4,4
SYN_6,Synthetic Village 6,HH_83,SRV_01,2024-05-01,2,3
SYN_6,Synthetic Village 6,HH_84,SRV_01,2024-05-01,9,3
SYN_6,Synthetic Village 6,HH_85,SRV_01,2024-05-01,8,10
SYN_6,Synthetic Village 6,HH_86,SRV_01,2024-05-01,0,2
SYN_6,Synthetic Village 6,HH_87,SRV_01,2024-05-01,1,10
SYN_6,Synthetic Village 6,HH_88,SRV_01,2024-05-01,0,6
SYN_6,Synthetic Village 6,HH_89,SRV_01,2024-05-01,1,6
SYN_0,Synthetic Village 0,HH_90,SRV_01,2024-05-01,8,8
SYN_0,Synthetic Village 0,HH_91,SRV_01,2024-05-01,9,4
SYN_0,Synthetic Village 0,HH_92,SRV_01,2024-05-01,1,5
SYN_0,Synthetic Village 0,HH_93,SRV_01,2024-05-01,10,3
SYN_0,Synthetic Village 0,HH_94,SRV_01,2024-05-01,10,2
SYN_0,Synthetic Village 0,HH_95,SRV_01,2024-05-01,5,6
SYN_0,Synthetic Village 0,HH_96,SRV_01,2024-05-01,10,4
SYN_0,Synthetic Village 0,HH_97,SRV_01,2024-05-01,2,4
SYN_0,Synthetic Village 0,HH_98,SRV_01,2024-05-01,8,1
SYN_0,Synthetic Village 0,HH_99,SRV_01,2024-05-01,2,6
SYN_0,Synthetic Village 0,HH_100,SRV_01,2024-05-01,8,10
SYN_0,Synthetic Village 0,HH_101,SRV_01,2024-05-01,9,10
SYN_0,Synthetic Village 0,HH_102,SRV_01,2024-05-01,4,7
SYN_0,Synthetic Village 0,HH_103,SRV_01,2024-05-01,4,8
SYN_0,Synthetic Village 0,HH_104,SRV_01,2024-05-01,1,0
SYN_0,Synthetic Village 0,HH_105,SRV_01,2024-05-01,6,1
SYN_0,Synthetic Village 0,HH_106,SRV_01,2024-05-01,0,10
SYN_0,Synthetic Village 0,HH_107,SRV_01,2024-05-01,5,3
SYN_0,Synthetic Village 0,HH_108,SRV_01,2024-05-01,1,0
SYN_0,Synthetic Village 0,HH_109,SRV_01,2024-05-01,3,4
SYN_0,Synthetic Village 0,HH_110,SRV_01,2024-05-01,7,1
SYN_0,Synthetic Village 0,HH_111,SRV_01,2024-05-01,6,2
SYN_0,Synthetic Village 0,HH_112,SRV_01,2024-05-01,3,4
SYN_0,Synthetic Village 0,HH_113,SRV_01,2024-05-01,9,0
SYN_0,Synthetic Village 0,HH_114,SRV_01,2024-05-01,1,5
