village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_6,Synthetic Village 6,HH_1,SRV_01,2024-05-01,3,10
SYN_6,Synthetic Village 6,HH_2,SRV_01,2024-05-01,2,8
SYN_6,Synthetic Village 6,HH_3,SRV_01,2024-05-01,10,3
SYN_6,Synthetic Village 6,HH_4,SRV_01,2024-05-01,9,9
SYN_6,Synthetic Village 6,HH_5,SRV_01,2024-05-01,9,1
SYN_6,Synthetic Village 6,HH_6,SRV_01,2024-05-01,4,4
SYN_6,Synthetic Village 6,HH_7,SRV_01,2024-05-01,10,9
SYN_6,Synthetic Village 6,HH_8,SRV_01,2024-05-01,1,9
SYN_6,Synthetic Village 6,HH_9,SRV_01,2024-05-01,3,3
SYN_6,Synthetic Village 6,HH_10,SRV_01,2024-05-01,9,4
SYN_6,Synthetic Village 6,HH_11,SRV_01,2024-05-01,4,3
SYN_6,Synthetic Village 6,HH_12,SRV_01,2024-05-01,4,1
SYN_6,Synthetic Village 6,HH_13,SRV_01,2024-05-01,9,8
SYN_6,Synthetic Village 6,HH_14,SRV_01,2024-05-01,8,10
SYN_6,Synthetic Village 6,HH_15,SRV_01,2024-05-01,6,5
SYN_6,Synthetic Village 6,HH_16,SRV_01,2024-05-01,0,0
SYN_6,Synthetic Village 6,HH_17,SRV_01,2024-05-01,10,8
SYN_6,Synthetic Village 6,HH_18,SRV_01,2024-05-01,8,6
SYN_6,Synthetic Village 6,HH_19,SRV_01,2024-05-01,2,9
SYN_6,Synthetic Village 6,HH_20,SRV_01,2024-05-01,2,10
SYN_6,Synthetic Village 6,HH_21,SRV_01,2024-05-01,8,10
SYN_6,Synthetic Village 6,HH_22,SRV_01,2024-05-01,9,7
SYN_6,Synthetic Village 6,HH_23,SRV_01,2024-05-01,1,10
SYN_6,Synthetic Village 6,HH_24,SRV_01,2024-05-01,6,3
SYN_6,Synthetic Village 6,HH_25,SRV_01,2024-05-01,4,0
SYN_6,Synthetic Village 6,HH_26,SRV_01,2024-05-01,3,5
SYN_6,Synthetic Village 6,HH_27,SRV_01,2024-05-01,7,0
SYN_6,Synthetic Village 6,HH_28,SRV_01,2024-05-01,5,4
SYN_6,Synthetic Village 6,HH_29,SRV_01,2024-05-01,6,0
V_003,Kheda,HH_30,SRV_01,2024-05-01,9,4
V_003,Kheda,HH_31,SRV_01,2024-05-01,2,2
V_003,Kheda,HH_32,SRV_01,2024-05-01,2,1
V_003,Kheda,HH_33,SRV_01,2024-05-01,8,3
V_003,Kheda,HH_34,SRV_01,2024-05-01,6,9
V_003,Kheda,HH_35,SRV_01,2024-05-01,1,2
V_003,Kheda,HH_36,SRV_01,2024-05-01,8,0
V_003,Kheda,HH_37,SRV_01,2024-05-01,8,5
V_003,Kheda,HH_38,SRV_01,2024-05-01,0,4
V_003,Kheda,HH_39,SRV_01,2024-05-01,2,2
V_003,Kheda,HH_40,SRV_01,2024-05-01,0,1
V_003,Kheda,HH_41,SRV_01,2024-05-01,2,10
V_003,Kheda,HH_42,SRV_01,2024-05-01,2,0
V_003,Kheda,HH_43,SRV_01,2024-05-01,4,9
V_003,Kheda,HH_44,SRV_01,2024-05-01,10,3
V_003,Kheda,HH_45,SRV_01,2024-05-01,0,0
V_003,Kheda,HH_46,SRV_01,2024-05-01,3,4
V_003,Kheda,HH_47,SRV_01,2024-05-01,3,7
V_003,Kheda,HH_48,SRV_01,2024-05-01,2,5
V_003,Kheda,HH_49,SRV_01,2024-05-01,4,0
V_003,Kheda,HH_50,SRV_01,2024-05-01,8,7
V_003,Kheda,HH_51,SRV_01,2024-05-01,8,0
V_003,Kheda,HH_52,SRV_01,2024-05-01,1,9
V_003,Kheda,HH_53,SRV_01,2024-05-01,7,0
V_003,Kheda,HH_54,SRV_01,2024-05-01,8,3
V_003,Kheda,HH_55,SRV_01,2024-05-01,10,10
V_003,Kheda,HH_56,SRV_01,2024-05-01,4,10
V_003,Kheda,HH_57,SRV_01,2024-05-01,7,1
V_008,Mawlynnong,HH_58,SRV_01,2024-05-01,4,1
V_008,Mawlynnong,HH_59,SRV_01,2024-05-01,10,9
V_008,Mawlynnong,HH_60,SRV_01,2024-05-01,9,9
V_008,Mawlynnong,HH_61,SRV_01,2024-05-01,8,6
V_008,Mawlynnong,HH_62,SRV_01,2024-05-01,8,1
V_008,Mawlynnong,HH_63,SRV_01,2024-05-01,3,10
