village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_2,Synthetic Village 2,HH_1,SRV_01,2024-05-01,9,0
SYN_2,Synthetic Village 2,HH_2,SRV_01,2024-05-01,8,7
SYN_2,Synthetic Village 2,HH_3,SRV_01,2024-05-01,8,3
SYN_2,Synthetic Village 2,HH_4,SRV_01,2024-05-01,10,7
SYN_2,Synthetic Village 2,HH_5,SRV_01,2024-05-01,0,1
SYN_2,Synthetic Village 2,HH_6,SRV_01,2024-05-01,10,10
SYN_2,Synthetic Village 2,HH_7,SRV_01,2024-05-01,10,9
SYN_2,Synthetic Village 2,HH_8,SRV_01,2024-05-01,9,3
SYN_2,Synthetic Village 2,HH_9,SRV_01,2024-05-01,3,0
SYN_2,Synthetic Village 2,HH_10,SRV_01,2024-05-01,1,9
SYN_2,Synthetic Village 2,HH_11,SRV_01,2024-05-01,3,1
SYN_2,Synthetic Village 2,HH_12,SRV_01,2024-05-01,2,7
SYN_2,Synthetic Village 2,HH_13,SRV_01,2024-05-01,6,0
SYN_2,Synthetic Village 2,HH_14,SRV_01,2024-05-01,1,10
SYN_2,Synthetic Village 2,HH_15,SRV_01,2024-05-01,10,5
SYN_2,Synthetic Village 2,HH_16,SRV_01,2024-05-01,6,3
SYN_2,Synthetic Village 2,HH_17,SRV_01,2024-05-01,7,8
SYN_2,Synthetic Village 2,HH_18,SRV_01,2024-05-01,3,5
SYN_2,Synthetic Village 2,HH_19,SRV_01,2024-05-01,2,2
SYN_2,Synthetic Village 2,HH_20,SRV_01,2024-05-01,10,7
SYN_2,Synthetic Village 2,HH_21,SRV_01,2024-05-01,7,3
SYN_2,Synthetic Village 2,HH_22,SRV_01,2024-05-01,3,2
SYN_2,Synthetic Village 2,HH_23,SRV_01,2024-05-01,7,3
SYN_2,Synthetic Village 2,HH_24,SRV_01,2024-05-01,9,0
SYN_2,Synthetic Village 2,HH_25,SRV_01,2024-05-01,10,6
SYN_2,Synthetic Village 2,HH_26,SRV_01,2024-05-01,10,0
SYN_2,Synthetic Village 2,HH_27,SRV_01,2024-05-01,5,8
SYN_2,Synthetic Village 2,HH_28,SRV_01,2024-05-01,5,1
SYN_2,Synthetic Village 2,HH_29,SRV_01,2024-05-01,5,8
SYN_2,Synthetic Village 2,HH_30,SRV_01,2024-05-01,3,8
V_002,Gopalpur,HH_31,SRV_01,2024-05-01,7,5
V_002,Gopalpur,HH_32,SRV_01,2024-05-01,9,5
V_002,Gopalpur,HH_33,SRV_01,2024-05-01,3,2
V_002,Gopalpur,HH_34,SRV_01,2024-05-01,3,2
V_002,Gopalpur,HH_35,SRV_01,2024-05-01,0,6
V_002,Gopalpur,HH_36,SRV_01,2024-05-01,9,7
V_002,Gopalpur,HH_37,SRV_01,2024-05-01,7,1
V_002,Gopalpur,HH_38,SRV_01,2024-05-01,1,3
V_002,Gopalpur,HH_39,SRV_01,2024-05-01,1,10
V_002,Gopalpur,HH_40,SRV_01,2024-05-01,7,3
V_002,Gopalpur,HH_41,SRV_01,2024-05-01,9,7
V_002,Gopalpur,HH_42,SRV_01,2024-05-01,1,9
V_002,Gopalpur,HH_43,SRV_01,2024-05-01,8,3
V_002,Gopalpur,HH_44,SRV_01,2024-05-01,5,4
V_002,Gopalpur,HH_45,SRV_01,2024-05-01,8,3
V_002,Gopalpur,HH_46,SRV_01,2024-05-01,1,0
V_002,Gopalpur,HH_47,SRV_01,2024-05-01,10,2
V_002,Gopalpur,HH_48,SRV_01,2024-05-01,1,4
V_002,Gopalpur,HH_49,SRV_01,2024-05-01,9,4
V_002,Gopalpur,HH_50,SRV_01,2024-05-01,1,7
V_002,Gopalpur,HH_51,SRV_01,2024-05-01,4,0
V_002,Gopalpur,HH_52,SRV_01,2024-05-01,10,6
V_002,Gopalpur,HH_53,SRV_01,2024-05-01,2,8
V_002,Gopalpur,HH_54,SRV_01,2024-05-01,10,7
V_002,Gopalpur,HH_55,SRV_01,2024-05-01,3,1
V_001,Bari,HH_56,SRV_01,2024-05-01,1,0
V_001,Bari,HH_57,SRV_01,2024-05-01,2,2
V_001,Bari,HH_58,SRV_01,2024-05-01,8,9
V_001,Bari,HH_59,SRV_01,2024-05-01,9,1
V_001,Bari,HH_60,SRV_01,2024-05-01,4,6
V_001,Bari,HH_61,SRV_01,2024-05-01,5,8
V_001,Bari,HH_62,SRV_01,2024-05-01,9,9
V_001,Bari,HH_63,SRV_01,2024-05-01,1,2
V_001,Bari,HH_64,SRV_01,2024-05-01,9,1
V_001,Bari,HH_65,SRV_01,2024-05-01,8,0
V_001,Bari,HH_66,SRV_01,2024-05-01,10,5
V_001,Bari,HH_67,SRV_01,2024-05-01,0,0
V_001,Bari,HH_68,SRV_01,2024-05-01,0,8
V_001,Bari,HH_69,SRV_01,2024-05-01,2,0
V_001,Bari,HH_70,SRV_01,2024-05-01,8,5
V_001,Bari,HH_71,SRV_01,2024-05-01,5,4
V_001,Bari,HH_72,SRV_01,2024-05-01,0,6
V_001,Bari,HH_73,SRV_01,2024-05-01,9,2
V_001,Bari,HH_74,SRV_01,2024-05-01,7,9
V_001,Bari,HH_75,SRV_01,2024-05-01,5,1
V_001,Bari,HH_76,SRV_01,2024-05-01,0,1
V_001,Bari,HH_77,SRV_01,2024-05-01,0,8
V_001,Bari,HH_78,SRV_01,2024-05-01,5,4
V_001,Bari,HH_79,SRV_01,2024-05-01,2,8
V_001,Bari,HH_80,SRV_01,2024-05-01,9,6
V_001,Bari,HH_81,SRV_01,2024-05-01,8,0
V_001,Bari,HH_82,SRV_01,2024-05-01,1,8
V_001,Bari,HH_83,SRV_01,2024-05-01,4,7
V_001,Bari,HH_84,SRV_01,2024-05-01,10,6
V_001,Bari,HH_85,SRV_01,2024-05-01,3,5
SYN_1,Synthetic Village 1,HH_86,SRV_01,2024-05-01,5,5
SYN_1,Synthetic Village 1,HH_87,SRV_01,2024-05-01,9,10
SYN_1,Synthetic Village 1,HH_88,SRV_01,2024-05-01,2,4
SYN_1,Synthetic Village 1,HH_89,SRV_01,2024-05-01,9,2
SYN_1,Synthetic Village 1,HH_90,SRV_01,2024-05-01,0,3
SYN_1,Synthetic Village 1,HH_91,SRV_01,2024-05-01,9,3
SYN_1,Synthetic Village 1,HH_92,SRV_01,2024-05-01,8,3
SYN_1,Synthetic Village 1,HH_93,SRV_01,2024-05-01,4,4
SYN_1,Synthetic Village 1,HH_94,SRV_01,2024-05-01,4,8
SYN_1,Synthetic Village 1,HH_95,SRV_01,2024-05-01,4,8
SYN_1,Synthetic Village 1,HH_96,SRV_01,2024-05-01,8,7
SYN_1,Synthetic Village 1,HH_97,SRV_01,2024-05-01,9,3
SYN_1,Synthetic Village 1,HH_98,SRV_01,2024-05-01,6,10
SYN_1,Synthetic Village 1,HH_99,SRV_01,2024-05-01,2,10
SYN_1,Synthetic Village 1,HH_100,SRV_01,2024-05-01,6,1
SYN_1,Synthetic Village 1,HH_101,SRV_01,2024-05-01,0,4
SYN_1,Synthetic Village 1,HH_102,SRV_01,2024-05-01,8,1
SYN_1,Synthetic Village 1,HH_103,SRV_01,2024-05-01,9,10
SYN_1,Synthetic Village 1,HH_104,SRV_01,2024-05-01,7,2
SYN_1,Synthetic Village 1,HH_105,SRV_01,2024-05-01,4,2
SYN_1,Synthetic Village 1,HH_106,SRV_01,2024-05-01,7,4
SYN_1,Synthetic Village 1,HH_107,SRV_01,2024-05-01,8,5
SYN_1,Synthetic Village 1,HH_108,SRV_01,2024-05-01,2,8
SYN_1,Synthetic Village 1,HH_109,SRV_01,2024-05-01,0,9
SYN_1,Synthetic Village 1,HH_110,SRV_01,2024-05-01,1,10
SYN_1,Synthetic Village 1,HH_111,SRV_01,2024-05-01,10,4
SYN_1,Synthetic Village 1,HH_112,SRV_01,2024-05-01,0,0
V_008,Mawlynnong,HH_113,SRV_01,2024-05-01,2,7
V_008,Mawlynnong,HH_114,SRV_01,2024-05-01,6,9
V_008,Mawlynnong,HH_115,SRV_01,2024-05-01,8,8
V_008,Mawlynnong,HH_116,SRV_01,2024-05-01,0,1
V_008,Mawlynnong,HH_117,SRV_01,2024-05-01,0,0
V_008,Mawlynnong,HH_118,SRV_01,2024-05-01,4,1
V_008,Mawlynnong,HH_119,SRV_01,2024-05-01,3,7
V_008,Mawlynnong,HH_120,SRV_01,2024-05-01,2,8
V_008,Mawlynnong,HH_121,SRV_01,2024-05-01,10,3
V_008,Mawlynnong,HH_122,SRV_01,2024-05-01,8,4
V_008,Mawlynnong,HH_123,SRV_01,2024-05-01,1,6
V_008,Mawlynnong,HH_124,SRV_01,2024-05-01,0,5
V_008,Mawlynnong,HH_125,SRV_01,2024-05-01,6,5
V_008,Mawlynnong,HH_126,SRV_01,2024-05-01,7,4
V_008,Mawlynnong,HH_127,SRV_01,2024-05-01,6,1
V_008,Mawlynnong,HH_128,SRV_01,2024-05-01,6,7
V_008,Mawlynnong,HH_129,SRV_01,2024-05-01,8,6
V_008,Mawlynnong,HH_130,SRV_01,2024-05-01,6,8
V_008,Mawlynnong,HH_131,SRV_01,2024-05-01,4,5
V_008,Mawlynnong,HH_132,SRV_01,2024-05-01,1,4
V_008,Mawlynnong,HH_133,SRV_01,2024-05-01,3,2
V_008,Mawlynnong,HH_134,SRV_01,2024-05-01,0,8
V_008,Mawlynnong,HH_135,SRV_01,2024-05-01,2,7
V_008,Mawlynnong,HH_136,SRV_01,2024-05-01,4,2
V_008,Mawlynnong,HH_137,SRV_01,2024-05-01,2,8
V_008,Mawlynnong,HH_138,SRV_01,2024-05-01,0,5
V_008,Mawlynnong,HH_139,SRV_01,2024-05-01,1,10
V_008,Mawlynnong,HH_140,SRV_01,2024-05-01,1,5
