village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_2,Synthetic Village 2,HH_1,SRV_01,2024-05-01,8,1
SYN_2,Synthetic Village 2,HH_2,SRV_01,2024-05-01,10,7
SYN_2,Synthetic Village 2,HH_3,SRV_01,2024-05-01,2,9
SYN_2,Synthetic Village 2,HH_4,SRV_01,2024-05-01,2,5
SYN_2,Synthetic Village 2,HH_5,SRV_01,2024-05-01,0,1
SYN_2,Synthetic Village 2,HH_6,SRV_01,2024-05-01,5,4
SYN_2,Synthetic Village 2,HH_7,SRV_01,2024-05-01,3,8
SYN_2,Synthetic Village 2,HH_8,SRV_01,2024-05-01,3,6
SYN_2,Synthetic Village 2,HH_9,SRV_01,2024-05-01,0,1
SYN_2,Synthetic Village 2,HH_10,SRV_01,2024-05-01,2,9
SYN_2,Synthetic Village 2,HH_11,SRV_01,2024-05-01,0,2
SYN_2,Synthetic Village 2,HH_12,SRV_01,2024-05-01,0,9
SYN_2,Synthetic Village 2,HH_13,SRV_01,2024-05-01,0,1
SYN_2,Synthetic Village 2,HH_14,SRV_01,2024-05-01,1,10
SYN_2,Synthetic Village 2,HH_15,SRV_01,2024-05-01,4,7
SYN_2,Synthetic Village 2,HH_16,SRV_01,2024-05-01,4,10
SYN_2,Synthetic Village 2,HH_17,SRV_01,2024-05-01,9,7
SYN_2,Synthetic Village 2,HH_18,SRV_01,2024-05-01,9,4
SYN_2,Synthetic Village 2,HH_19,SRV_01,2024-05-01,6,6
SYN_2,Synthetic Village 2,HH_20,SRV_01,2024-05-01,5,6
SYN_2,Synthetic Village 2,HH_21,SRV_01,2024-05-01,10,9
SYN_2,Synthetic Village 2,HH_22,SRV_01,2024-05-01,8,6
SYN_2,Synthetic Village 2,HH_23,SRV_01,2024-05-01,2,6
SYN_2,Synthetic Village 2,HH_24,SRV_01,2024-05-01,8,0
SYN_2,Synthetic Village 2,HH_25,SRV_01,2024-05-01,10,8
V_008,Mawlynnong,HH_26,SRV_01,2024-05-01,2,6
V_008,Mawlynnong,HH_27,SRV_01,2024-05-01,3,6
V_008,Mawlynnong,HH_28,SRV_01,2024-05-01,2,9
V_008,Mawlynnong,HH_29,SRV_01,2024-05-01,0,10
V_008,Mawlynnong,HH_30,SRV_01,2024-05-01,10,3
V_008,Mawlynnong,HH_31,SRV_01,2024-05-01,10,5
V_008,Mawlynnong,HH_32,SRV_01,2024-05-01,6,7
V_008,Mawlynnong,HH_33,SRV_01,2024-05-01,0,0
V_008,Mawlynnong,HH_34,SRV_01,2024-05-01,0,7
V_008,Mawlynnong,HH_35,SRV_01,2024-05-01,10,0
V_008,Mawlynnong,HH_36,SRV_01,2024-05-01,10,0
V_008,Mawlynnong,HH_37,SRV_01,2024-05-01,8,1
V_008,Mawlynnong,HH_38,SRV_01,2024-05-01,7,4
V_008,Mawlynnong,HH_39,SRV_01,2024-05-01,0,4
V_008,Mawlynnong,HH_40,SRV_01,2024-05-01,4,3
V_008,Mawlynnong,HH_41,SRV_01,2024-05-01,10,2
V_008,Mawlynnong,HH_42,SRV_01,2024-05-01,9,6
V_008,Mawlynnong,HH_43,SRV_01,2024-05-01,0,10
V_008,Mawlynnong,HH_44,SRV_01,2024-05-01,3,8
V_008,Mawlynnong,HH_45,SRV_01,2024-05-01,8,8
V_008,Mawlynnong,HH_46,SRV_01,2024-05-01,0,3
V_008,Mawlynnong,HH_47,SRV_01,2024-05-01,0,6
V_008,Mawlynnong,HH_48,SRV_01,2024-05-01,1,10
V_008,Mawlynnong,HH_49,SRV_01,2024-05-01,2,2
V_008,Mawlynnong,HH_50,SRV_01,2024-05-01,9,3
SYN_3,Synthetic Village 3,HH_51,SRV_01,2024-05-01,9,2
SYN_3,Synthetic Village 3,HH_52,SRV_01,2024-05-01,2,2
SYN_3,Synthetic Village 3,HH_53,SRV_01,2024-05-01,7,1
SYN_3,Synthetic Village 3,HH_54,SRV_01,2024-05-01,8,8
SYN_3,Synthetic Village 3,HH_55,SRV_01,2024-05-01,8,8
SYN_3,Synthetic Village 3,HH_56,SRV_01,2024-05-01,1,8
SYN_3,Synthetic Village 3,HH_57,SRV_01,2024-05-01,0,8
SYN_3,Synthetic Village 3,HH_58,SRV_01,2024-05-01,6,8
SYN_3,Synthetic Village 3,HH_59,SRV_01,2024-05-01,1,10
SYN_3,Synthetic Village 3,HH_60,SRV_01,2024-05-01,0,8
SYN_3,Synthetic Village 3,HH_61,SRV_01,2024-05-01,0,7
SYN_3,Synthetic Village 3,HH_62,SRV_01,2024-05-01,0,3
SYN_3,Synthetic Village 3,HH_63,SRV_01,2024-05-01,4,7
SYN_3,Synthetic Village 3,HH_64,SRV_01,2024-05-01,2,7
SYN_3,Synthetic Village 3,HH_65,SRV_01,2024-05-01,10,2
SYN_3,Synthetic Village 3,HH_66,SRV_01,2024-05-01,8,6
SYN_3,Synthetic Village 3,HH_67,SRV_01,2024-05-01,7,4
SYN_3,Synthetic Village 3,HH_68,SRV_01,2024-05-01,1,9
SYN_3,Synthetic Village 3,HH_69,SRV_01,2024-05-01,8,0
SYN_3,Synthetic Village 3,HH_70,SRV_01,2024-05-01,0,9
SYN_3,Synthetic Village 3,HH_71,SRV_01,2024-05-01,10,3
SYN_3,Synthetic Village 3,HH_72,SRV_01,2024-05-01,7,3
SYN_3,Synthetic Village 3,HH_73,SRV_01,2024-05-01,2,0
SYN_3,Synthetic Village 3,HH_74,SRV_01,2024-05-01,5,4
SYN_3,Synthetic Village 3,HH_75,SRV_01,2024-05-01,5,1
