village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_5,Synthetic Village 5,HH_1,SRV_01,2024-05-01,5,4
SYN_5,Synthetic Village 5,HH_2,SRV_01,2024-05-01,8,10
SYN_5,Synthetic Village 5,HH_3,SRV_01,2024-05-01,2,3
SYN_5,Synthetic Village 5,HH_4,SRV_01,2024-05-01,2,5
SYN_5,Synthetic Village 5,HH_5,SRV_01,2024-05-01,10,1
SYN_5,Synthetic Village 5,HH_6,SRV_01,2024-05-01,1,5
SYN_5,Synthetic Village 5,HH_7,SRV_01,2024-05-01,1,9
SYN_5,Synthetic Village 5,HH_8,SRV_01,2024-05-01,5,6
SYN_5,Synthetic Village 5,HH_9,SRV_01,2024-05-01,2,5
SYN_5,Synthetic Village 5,HH_10,SRV_01,2024-05-01,6,1
SYN_5,Synthetic Village 5,HH_11,SRV_01,2024-05-01,3,0
SYN_5,Synthetic Village 5,HH_12,SRV_01,2024-05-01,1,8
SYN_5,Synthetic Village 5,HH_13,SRV_01,2024-05-01,2,9
SYN_5,Synthetic Village 5,HH_14,SRV_01,2024-05-01,2,10
SYN_5,Synthetic Village 5,HH_15,SRV_01,2024-05-01,3,5
SYN_5,Synthetic Village 5,HH_16,SRV_01,2024-05-01,7,2
SYN_5,Synthetic Village 5,HH_17,SRV_01,2024-05-01,7,1
SYN_5,Synthetic Village 5,HH_18,SRV_01,2024-05-01,8,7
SYN_5,Synthetic Village 5,HH_19,SRV_01,2024-05-01,6,7
SYN_5,Synthetic Village 5,HH_20,SRV_01,2024-05-01,5,10
SYN_5,Synthetic Village 5,HH_21,SRV_01,2024-05-01,1,4
SYN_5,Synthetic Village 5,HH_22,SRV_01,2024-05-01,9,5
SYN_5,Synthetic Village 5,HH_23,SRV_01,2024-05-01,9,6
SYN_5,Synthetic Village 5,HH_24,SRV_01,2024-05-01,6,0
SYN_5,Synthetic Village 5,HH_25,SRV_01,2024-05-01,2,5
SYN_3,Synthetic Village 3,HH_26,SRV_01,2024-05-01,10,2
SYN_3,Synthetic Village 3,HH_27,SRV_01,2024-05-01,3,8
SYN_3,Synthetic Village 3,HH_28,SRV_01,2024-05-01,5,10
SYN_3,Synthetic Village 3,HH_29,SRV_01,2024-05-01,6,5
SYN_3,Synthetic Village 3,HH_30,SRV_01,2024-05-01,7,10
SYN_3,Synthetic Village 3,HH_31,SRV_01,2024-05-01,5,2
SYN_3,Synthetic Village 3,HH_32,SRV_01,2024-05-01,4,7
SYN_3,Synthetic Village 3,HH_33,SRV_01,2024-05-01,9,8
SYN_3,Synthetic Village 3,HH_34,SRV_01,2024-05-01,1,10
SYN_3,Synthetic Village 3,HH_35,SRV_01,2024-05-01,4,7
SYN_3,Synthetic Village 3,HH_36,SRV_01,2024-05-01,5,3
SYN_3,Synthetic Village 3,HH_37,SRV_01,2024-05-01,7,10
SYN_3,Synthetic Village 3,HH_38,SRV_01,2024-05-01,6,6
SYN_3,Synthetic Village 3,HH_39,SRV_01,2024-05-01,2,6
SYN_3,Synthetic Village 3,HH_40,SRV_01,2024-05-01,5,4
SYN_3,Synthetic Village 3,HH_41,SRV_01,2024-05-01,9,4
SYN_3,Synthetic Village 3,HH_42,SRV_01,2024-05-01,7,6
SYN_3,Synthetic Village 3,HH_43,SRV_01,2024-05-01,1,6
SYN_3,Synthetic Village 3,HH_44,SRV_01,2024-05-01,8,8
SYN_3,Synthetic Village 3,HH_45,SRV_01,2024-05-01,2,5
SYN_3,Synthetic Village 3,HH_46,SRV_01,2024-05-01,6,0
SYN_3,Synthetic Village 3,HH_47,SRV_01,2024-05-01,8,2
SYN_3,Synthetic Village 3,HH_48,SRV_01,2024-05-01,5,8
SYN_3,Synthetic Village 3,HH_49,SRV_01,2024-05-01,1,10
SYN_3,Synthetic Village 3,HH_50,SRV_01,2024-05-01,10,5
SYN_3,Synthetic Village 3,HH_51,SRV_01,2024-05-01,9,10
SYN_3,Synthetic Village 3,HH_52,SRV_01,2024-05-01,5,0
SYN_3,Synthetic Village 3,HH_53,SRV_01,2024-05-01,4,0
SYN_3,Synthetic Village 3,HH_54,SRV_01,2024-05-01,5,5
SYN_3,Synthetic Village 3,HH_55,SRV_01,2024-05-01,9,10
V_006,Palakkad,HH_56,SRV_01,2024-05-01,4,3
V_006,Palakkad,HH_57,SRV_01,2024-05-01,5,9
V_006,Palakkad,HH_58,SRV_01,2024-05-01,5,2
V_006,Palakkad,HH_59,SRV_01,2024-05-01,10,2
V_006,Palakkad,HH_60,SRV_01,2024-05-01,7,9
V_006,Palakkad,HH_61,SRV_01,2024-05-01,4,1
V_006,Palakkad,HH_62,SRV_01,2024-05-01,7,3
V_006,Palakkad,HH_63,SRV_01,2024-05-01,3,4
V_006,Palakkad,HH_64,SRV_01,2024-05-01,6,9
V_006,Palakkad,HH_65,SRV_01,2024-05-01,0,3
V_006,Palakkad,HH_66,SRV_01,2024-05-01,3,4
V_006,Palakkad,HH_67,SRV_01,2024-05-01,7,2
V_006,Palakkad,HH_68,SRV_01,2024-05-01,8,9
V_006,Palakkad,HH_69,SRV_01,2024-05-01,10,4
V_006,Palakkad,HH_70,SRV_01,2024-05-01,4,9
V_006,Palakkad,HH_71,SRV_01,2024-05-01,3,3
V_006,Palakkad,HH_72,SRV_01,2024-05-01,1,8
V_006,Palakkad,HH_73,SRV_01,2024-05-01,9,0
V_006,Palakkad,HH_74,SRV_01,2024-05-01,6,6
V_006,Palakkad,HH_75,SRV_01,2024-05-01,9,5
V_006,Palakkad,HH_76,SRV_01,2024-05-01,0,10
V_006,Palakkad,HH_77,SRV_01,2024-05-01,4,5
V_006,Palakkad,HH_78,SRV_01,2024-05-01,0,6
V_006,Palakkad,HH_79,SRV_01,2024-05-01,10,8
V_006,Palakkad,HH_80,SRV_01,2024-05-01,5,1
V_006,Palakkad,HH_81,SRV_01,2024-05-01,9,2
V_006,Palakkad,HH_82,SRV_01,2024-05-01,10,8
V_006,Palakkad,HH_83,SRV_01,2024-05-01,8,0
V_002,Gopalpur,HH_84,SRV_01,2024-05-01,4,3
V_002,Gopalpur,HH_85,SRV_01,2024-05-01,9,4
V_002,Gopalpur,HH_86,SRV_01,2024-05-01,1,8
V_002,Gopalpur,HH_87,SRV_01,2024-05-01,9,2
V_002,Gopalpur,HH_88,SRV_01,2024-05-01,8,0
V_002,Gopalpur,HH_89,SRV_01,2024-05-01,5,7
V_002,Gopalpur,HH_90,SRV_01,2024-05-01,2,8
V_002,Gopalpur,HH_91,SRV_01,2024-05-01,0,8
V_002,Gopalpur,HH_92,SRV_01,2024-05-01,9,4
V_002,Gopalpur,HH_93,SRV_01,2024-05-01,4,10
V_002,Gopalpur,HH_94,SRV_01,2024-05-01,8,1
V_002,Gopalpur,HH_95,SRV_01,2024-05-01,10,2
V_002,Gopalpur,HH_96,SRV_01,2024-05-01,2,10
V_002,Gopalpur,HH_97,SRV_01,2024-05-01,0,2
V_002,Gopalpur,HH_98,SRV_01,2024-05-01,1,8
V_002,Gopalpur,HH_99,SRV_01,2024-05-01,3,5
V_002,Gopalpur,HH_100,SRV_01,2024-05-01,1,2
V_002,Gopalpur,HH_101,SRV_01,2024-05-01,9,2
V_002,Gopalpur,HH_102,SRV_01,2024-05-01,2,10
V_002,Gopalpur,HH_103,SRV_01,2024-05-01,4,4
V_002,Gopalpur,HH_104,SRV_01,2024-05-01,10,8
V_002,Gopalpur,HH_105,SRV_01,2024-05-01,7,7
V_002,Gopalpur,HH_106,SRV_01,2024-05-01,8,0
V_002,Gopalpur,HH_107,SRV_01,2024-05-01,8,1
V_002,Gopalpur,HH_108,SRV_01,2024-05-01,6,2
V_002,Gopalpur,HH_109,SRV_01,2024-05-01,8,9
V_002,Gopalpur,HH_110,SRV_01,2024-05-01,6,8
