village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
V_005,Dantewada,HH_1,SRV_01,2024-05-01,7,10
V_005,Dantewada,HH_2,SRV_01,2024-05-01,8,9
V_005,Dantewada,HH_3,SRV_01,2024-05-01,2,6
V_005,Dantewada,HH_4,SRV_01,2024-05-01,8,0
V_005,Dantewada,HH_5,SRV_01,2024-05-01,4,4
V_005,Dantewada,HH_6,SRV_01,2024-05-01,10,7
V_005,Dantewada,HH_7,SRV_01,2024-05-01,8,2
V_005,Dantewada,HH_8,SRV_01,2024-05-01,7,2
V_005,Dantewada,HH_9,SRV_01,2024-05-01,2,8
V_005,Dantewada,HH_10,SRV_01,2024-05-01,5,7
V_005,Dantewada,HH_11,SRV_01,2024-05-01,6,4
V_005,Dantewada,HH_12,SRV_01,2024-05-01,3,5
V_005,Dantewada,HH_13,SRV_01,2024-05-01,2,4
V_005,Dantewada,HH_14,SRV_01,2024-05-01,10,6
V_005,Dantewada,HH_15,SRV_01,2024-05-01,8,10
V_005,Dantewada,HH_16,SRV_01,2024-05-01,4,8
V_005,Dantewada,HH_17,SRV_01,2024-05-01,7,7
V_005,Dantewada,HH_18,SRV_01,2024-05-01,5,2
V_005,Dantewada,HH_19,SRV_01,2024-05-01,7,10
V_005,Dantewada,HH_20,SRV_01,2024-05-01,2,1
V_005,Dantewada,HH_21,SRV_01,2024-05-01,4,6
V_005,Dantewada,HH_22,SRV_01,2024-05-01,6,2
V_005,Dantewada,HH_23,SRV_01,2024-05-01,1,8
V_005,Dantewada,HH_24,SRV_01,2024-05-01,2,8
V_005,Dantewada,HH_25,SRV_01,2024-05-01,1,7
V_005,Dantewada,HH_26,SRV_01,2024-05-01,7,2
V_005,Dantewada,HH_27,SRV_01,2024-05-01,6,9
V_005,Dantewada,HH_28,SRV_01,2024-05-01,4,4
V_003,Kheda,HH_29,SRV_01,2024-05-01,8,5
V_003,Kheda,HH_30,SRV_01,2024-05-01,3,6
V_003,Kheda,HH_31,SRV_01,2024-05-01,3,9
V_003,Kheda,HH_32,SRV_01,2024-05-01,1,1
V_003,Kheda,HH_33,SRV_01,2024-05-01,9,4
V_003,Kheda,HH_34,SRV_01,2024-05-01,3,9
V_003,Kheda,HH_35,SRV_01,2024-05-01,2,2
V_003,Kheda,HH_36,SRV_01,2024-05-01,1,9
V_003,Kheda,HH_37,SRV_01,2024-05-01,3,2
V_003,Kheda,HH_38,SRV_01,2024-05-01,8,4
V_003,Kheda,HH_39,SRV_01,2024-05-01,7,8
V_003,Kheda,HH_40,SRV_01,2024-05-01,5,6
V_003,Kheda,HH_41,SRV_01,2024-05-01,2,4
V_003,Kheda,HH_42,SRV_01,2024-05-01,7,4
V_003,Kheda,HH_43,SRV_01,2024-05-01,3,6
V_003,Kheda,HH_44,SRV_01,2024-05-01,6,5
V_003,Kheda,HH_45,SRV_01,2024-05-01,10,7
V_003,Kheda,HH_46,SRV_01,2024-05-01,2,8
V_003,Kheda,HH_47,SRV_01,2024-05-01,6,9
V_003,Kheda,HH_48,SRV_01,2024-05-01,3,2
V_003,Kheda,HH_49,SRV_01,2024-05-01,8,8
V_003,Kheda,HH_50,SRV_01,2024-05-01,3,5
V_003,Kheda,HH_51,SRV_01,2024-05-01,9,0
V_003,Kheda,HH_52,SRV_01,2024-05-01,6,4
V_003,Kheda,HH_53,SRV_01,2024-05-01,4,4
V_003,Kheda,HH_54,SRV_01,2024-05-01,7,7
SYN_0,Synthetic Village 0,HH_55,SRV_01,2024-05-01,10,5
SYN_0,Synthetic Village 0,HH_56,SRV_01,2024-05-01,9,5
SYN_0,Synthetic Village 0,HH_57,SRV_01,2024-05-01,6,1
SYN_0,Synthetic Village 0,HH_58,SRV_01,2024-05-01,2,9
SYN_0,Synthetic Village 0,HH_59,SRV_01,2024-05-01,8,4
SYN_0,Synthetic Village 0,HH_60,SRV_01,2024-05-01,7,6
SYN_0,Synthetic Village 0,HH_61,SRV_01,2024-05-01,10,0
SYN_0,Synthetic Village 0,HH_62,SRV_01,2024-05-01,10,5
SYN_0,Synthetic Village 0,HH_63,SRV_01,2024-05-01,2,5
SYN_0,Synthetic Village 0,HH_64,SRV_01,2024-05-01,3,10
SYN_0,Synthetic Village 0,HH_65,SRV_01,2024-05-01,0,10
SYN_0,Synthetic Village 0,HH_66,SRV_01,2024-05-01,4,4
SYN_0,Synthetic Village 0,HH_67,SRV_01,2024-05-01,0,5
SYN_0,Synthetic Village 0,HH_68,SRV_01,2024-05-01,3,6
SYN_0,Synthetic Village 0,HH_69,SRV_01,2024-05-01,5,6
SYN_0,Synthetic Village 0,HH_70,SRV_01,2024-05-01,0,2
SYN_0,Synthetic Village 0,HH_71,SRV_01,2024-05-01,4,6
SYN_0,Synthetic Village 0,HH_72,SRV_01,2024-05-01,6,10
SYN_0,Synthetic Village 0,HH_73,SRV_01,2024-05-01,8,9
SYN_0,Synthetic Village 0,HH_74,SRV_01,2024-05-01,0,1
SYN_0,Synthetic Village 0,HH_75,SRV_01,2024-05-01,2,9
SYN_0,Synthetic Village 0,HH_76,SRV_01,2024-05-01,4,7
SYN_0,Synthetic Village 0,HH_77,SRV_01,2024-05-01,8,7
SYN_0,Synthetic Village 0,HH_78,SRV_01,2024-05-01,4,8
SYN_0,Synthetic Village 0,HH_79,SRV_01,2024-05-01,7,5
SYN_0,Synthetic Village 0,HH_80,SRV_01,2024-05-01,7,6
SYN_0,Synthetic Village 0,HH_81,SRV_01,2024-05-01,10,1
SYN_0,Synthetic Village 0,HH_82,SRV_01,2024-05-01,7,10
SYN_0,Synthetic Village 0,HH_83,SRV_01,2024-05-01,6,0
SYN_0,Synthetic Village 0,HH_84,SRV_01,2024-05-01,8,4
V_006,Palakkad,HH_85,SRV_01,2024-05-01,1,9
V_006,Palakkad,HH_86,SRV_01,2024-05-01,9,6
V_006,Palakkad,HH_87,SRV_01,2024-05-01,1,4
V_006,Palakkad,HH_88,SRV_01,2024-05-01,10,9
V_006,Palakkad,HH_89,SRV_01,2024-05-01,7,10
V_006,Palakkad,HH_90,SRV_01,2024-05-01,6,6
V_006,Palakkad,HH_91,SRV_01,2024-05-01,5,4
V_006,Palakkad,HH_92,SRV_01,2024-05-01,4,0
V_006,Palakkad,HH_93,SRV_01,2024-05-01,1,1
V_006,Palakkad,HH_94,SRV_01,2024-05-01,9,9
V_006,Palakkad,HH_95,SRV_01,2024-05-01,9,5
V_006,Palakkad,HH_96,SRV_01,2024-05-01,8,7
V_006,Palakkad,HH_97,SRV_01,2024-05-01,8,1
V_006,Palakkad,HH_98,SRV_01,2024-05-01,7,0
V_006,Palakkad,HH_99,SRV_01,2024-05-01,0,1
V_006,Palakkad,HH_100,SRV_01,2024-05-01,10,7
V_006,Palakkad,HH_101,SRV_01,2024-05-01,7,3
V_006,Palakkad,HH_102,SRV_01,2024-05-01,0,2
V_006,Palakkad,HH_103,SRV_01,2024-05-01,7,0
V_006,Palakkad,HH_104,SRV_01,2024-05-01,9,5
V_006,Palakkad,HH_105,SRV_01,2024-05-01,0,9
V_006,Palakkad,HH_106,SRV_01,2024-05-01,9,9
V_006,Palakkad,HH_107,SRV_01,2024-05-01,0,4
V_006,Palakkad,HH_108,SRV_01,2024-05-01,7,1
V_006,Palakkad,HH_109,SRV_01,2024-05-01,9,8
