village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
SYN_0,Synthetic Village 0,HH_1,SRV_01,2024-05-01,5,8
SYN_0,Synthetic Village 0,HH_2,SRV_01,2024-05-01,6,0
SYN_0,Synthetic Village 0,HH_3,SRV_01,2024-05-01,7,9
SYN_0,Synthetic Village 0,HH_4,SRV_01,2024-05-01,1,3
SYN_0,Synthetic Village 0,HH_5,SRV_01,2024-05-01,10,6
SYN_0,Synthetic Village 0,HH_6,SRV_01,2024-05-01,8,4
SYN_0,Synthetic Village 0,HH_7,SRV_01,2024-05-01,10,8
SYN_0,Synthetic Village 0,HH_8,SRV_01,2024-05-01,6,1
SYN_0,Synthetic Village 0,HH_9,SRV_01,2024-05-01,6,8
SYN_0,Synthetic Village 0,HH_10,SRV_01,2024-05-01,0,9
SYN_0,Synthetic Village 0,HH_11,SRV_01,2024-05-01,9,1
SYN_0,Synthetic Village 0,HH_12,SRV_01,2024-05-01,10,10
SYN_0,Synthetic Village 0,HH_13,SRV_01,2024-05-01,5,6
SYN_0,Synthetic Village 0,HH_14,SRV_01,2024-05-01,6,9
SYN_0,Synthetic Village 0,HH_15,SRV_01,2024-05-01,5,7
SYN_0,Synthetic Village 0,HH_16,SRV_01,2024-05-01,4,0
SYN_0,Synthetic Village 0,HH_17,SRV_01,2024-05-01,2,6
SYN_0,Synthetic Village 0,HH_18,SRV_01,2024-05-01,10,1
SYN_0,Synthetic Village 0,HH_19,SRV_01,2024-05-01,7,10
SYN_0,Synthetic Village 0,HH_20,SRV_01,2024-05-01,2,6
SYN_0,Synthetic Village 0,HH_21,SRV_01,2024-05-01,7,0
SYN_0,Synthetic Village 0,HH_22,SRV_01,2024-05-01,9,5
SYN_0,Synthetic Village 0,HH_23,SRV_01,2024-05-01,10,3
SYN_0,Synthetic Village 0,HH_24,SRV_01,2024-05-01,7,6
SYN_0,Synthetic Village 0,HH_25,SRV_01,2024-05-01,4,7
V_003,Kheda,HH_26,SRV_01,2024-05-01,1,5
V_003,Kheda,HH_27,SRV_01,2024-05-01,0,0
V_003,Kheda,HH_28,SRV_01,2024-05-01,10,10
V_003,Kheda,HH_29,SRV_01,2024-05-01,5,0
V_003,Kheda,HH_30,SRV_01,2024-05-01,2,8
V_003,Kheda,HH_31,SRV_01,2024-05-01,1,3
V_003,Kheda,HH_32,SRV_01,2024-05-01,2,6
V_003,Kheda,HH_33,SRV_01,2024-05-01,1,1
V_003,Kheda,HH_34,SRV_01,2024-05-01,2,9
V_003,Kheda,HH_35,SRV_01,2024-05-01,9,4
V_003,Kheda,HH_36,SRV_01,2024-05-01,6,5
V_003,Kheda,HH_37,SRV_01,2024-05-01,7,5
V_003,Kheda,HH_38,SRV_01,2024-05-01,4,2
V_003,Kheda,HH_39,SRV_01,2024-05-01,7,10
V_003,Kheda,HH_40,SRV_01,2024-05-01,4,2
V_003,Kheda,HH_41,SRV_01,2024-05-01,0,5
V_003,Kheda,HH_42,SRV_01,2024-05-01,2,8
V_003,Kheda,HH_43,SRV_01,2024-05-01,8,10
V_003,Kheda,HH_44,SRV_01,2024-05-01,7,5
V_003,Kheda,HH_45,SRV_01,2024-05-01,6,2
V_003,Kheda,HH_46,SRV_01,2024-05-01,10,7
V_003,Kheda,HH_47,SRV_01,2024-05-01,2,4
V_003,Kheda,HH_48,SRV_01,2024-05-01,8,10
V_003,Kheda,HH_49,SRV_01,2024-05-01,5,3
V_003,Kheda,HH_50,SRV_01,2024-05-01,2,9
V_003,Kheda,HH_51,SRV_01,2024-05-01,8,10
V_003,Kheda,HH_52,SRV_01,2024-05-01,10,10
V_003,Kheda,HH_53,SRV_01,2024-05-01,2,2
V_003,Kheda,HH_54,SRV_01,2024-05-01,8,8
V_002,Gopalpur,HH_55,SRV_01,2024-05-01,8,5
V_002,Gopalpur,HH_56,SRV_01,2024-05-01,7,3
V_002,Gopalpur,HH_57,SRV_01,2024-05-01,6,1
V_002,Gopalpur,HH_58,SRV_01,2024-05-01,0,7
V_002,Gopalpur,HH_59,SRV_01,2024-05-01,5,5
V_002,Gopalpur,HH_60,SRV_01,2024-05-01,0,2
V_002,Gopalpur,HH_61,SRV_01,2024-05-01,3,4
V_002,Gopalpur,HH_62,SRV_01,2024-05-01,2,7
V_002,Gopalpur,HH_63,SRV_01,2024-05-01,10,5
V_002,Gopalpur,HH_64,SRV_01,2024-05-01,4,0
V_002,Gopalpur,HH_65,SRV_01,2024-05-01,0,4
V_002,Gopalpur,HH_66,SRV_01,2024-05-01,8,4
V_002,Gopalpur,HH_67,SRV_01,2024-05-01,10,8
V_002,Gopalpur,HH_68,SRV_01,2024-05-01,3,3
V_002,Gopalpur,HH_69,SRV_01,2024-05-01,5,10
V_002,Gopalpur,HH_70,SRV_01,2024-05-01,4,8
V_002,Gopalpur,HH_71,SRV_01,2024-05-01,6,2
V_002,Gopalpur,HH_72,SRV_01,2024-05-01,7,10
V_002,Gopalpur,HH_73,SRV_01,2024-05-01,8,4
V_002,Gopalpur,HH_74,SRV_01,2024-05-01,2,8
V_002,Gopalpur,HH_75,SRV_01,2024-05-01,2,5
V_002,Gopalpur,HH_76,SRV_01,2024-05-01,6,7
V_002,Gopalpur,HH_77,SRV_01,2024-05-01,2,1
V_002,Gopalpur,HH_78,SRV_01,2024-05-01,7,5
V_002,Gopalpur,HH_79,SRV_01,2024-05-01,3,6
V_002,Gopalpur,HH_80,SRV_01,2024-05-01,9,5
V_002,Gopalpur,HH_81,SRV_01,2024-05-01,10,7
