village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
V_004,Nandur,HH_1,SRV_01,2024-05-01,4,7
V_004,Nandur,HH_2,SRV_01,2024-05-01,8,7
V_004,Nandur,HH_3,SRV_01,2024-05-01,6,0
V_004,Nandur,HH_4,SRV_01,2024-05-01,8,8
V_004,Nandur,HH_5,SRV_01,2024-05-01,1,9
V_004,Nandur,HH_6,SRV_01,2024-05-01,4,4
V_004,Nandur,HH_7,SRV_01,2024-05-01,8,0
V_004,Nandur,HH_8,SRV_01,2024-05-01,10,0
V_004,Nandur,HH_9,SRV_01,2024-05-01,8,3
V_004,Nandur,HH_10,SRV_01,2024-05-01,9,8
V_004,Nandur,HH_11,SRV_01,2024-05-01,9,0
V_004,Nandur,HH_12,SRV_01,2024-05-01,3,6
V_004,Nandur,HH_13,SRV_01,2024-05-01,9,2
V_004,Nandur,HH_14,SRV_01,2024-05-01,6,5
V_004,Nandur,HH_15,SRV_01,2024-05-01,0,0
V_004,Nandur,HH_16,SRV_01,2024-05-01,3,10
V_004,Nandur,HH_17,SRV_01,2024-05-01,3,8
V_004,Nandur,HH_18,SRV_01,2024-05-01,1,1
V_004,Nandur,HH_19,SRV_01,2024-05-01,9,6
V_004,Nandur,HH_20,SRV_01,2024-05-01,5,2
V_004,Nandur,HH_21,SRV_01,2024-05-01,5,1
V_004,Nandur,HH_22,SRV_01,2024-05-01,2,3
V_004,Nandur,HH_23,SRV_01,2024-05-01,8,6
V_004,Nandur,HH_24,SRV_01,2024-05-01,9,5
V_004,Nandur,HH_25,SRV_01,2024-05-01,7,2
V_004,Nandur,HH_26,SRV_01,2024-05-01,3,7
V_004,Nandur,HH_27,SRV_01,2024-05-01,0,10
SYN_1,Synthetic Village 1,HH_28,SRV_01,2024-05-01,6,7
SYN_1,Synthetic Village 1,HH_29,SRV_01,2024-05-01,10,4
SYN_1,Synthetic Village 1,HH_30,SRV_01,2024-05-01,6,9
SYN_1,Synthetic Village 1,HH_31,SRV_01,2024-05-01,1,9
SYN_1,Synthetic Village 1,HH_32,SRV_01,2024-05-01,5,4
SYN_1,Synthetic Village 1,HH_33,SRV_01,2024-05-01,10,5
SYN_1,Synthetic Village 1,HH_34,SRV_01,2024-05-01,9,6
SYN_1,Synthetic Village 1,HH_35,SRV_01,2024-05-01,5,3
SYN_1,Synthetic Village 1,HH_36,SRV_01,2024-05-01,8,0
SYN_1,Synthetic Village 1,HH_37,SRV_01,2024-05-01,8,5
SYN_1,Synthetic Village 1,HH_38,SRV_01,2024-05-01,8,0
SYN_1,Synthetic Village 1,HH_39,SRV_01,2024-05-01,10,10
SYN_1,Synthetic Village 1,HH_40,SRV_01,2024-05-01,6,3
SYN_1,Synthetic Village 1,HH_41,SRV_01,2024-05-01,10,6
SYN_1,Synthetic Village 1,HH_42,SRV_01,2024-05-01,1,0
SYN_1,Synthetic Village 1,HH_43,SRV_01,2024-05-01,3,1
SYN_1,Synthetic Village 1,HH_44,SRV_01,2024-05-01,7,0
SYN_1,Synthetic Village 1,HH_45,SRV_01,2024-05-01,8,2
SYN_1,Synthetic Village 1,HH_46,SRV_01,2024-05-01,3,2
SYN_1,Synthetic Village 1,HH_47,SRV_01,2024-05-01,2,7
SYN_1,Synthetic Village 1,HH_48,SRV_01,2024-05-01,5,5
SYN_1,Synthetic Village 1,HH_49,SRV_01,2024-05-01,6,7
SYN_1,Synthetic Village 1,HH_50,SRV_01,2024-05-01,8,10
SYN_1,Synthetic Village 1,HH_51,SRV_01,2024-05-01,8,9
SYN_1,Synthetic Village 1,HH_52,SRV_01,2024-05-01,0,7
SYN_1,Synthetic Village 1,HH_53,SRV_01,2024-05-01,9,7
SYN_1,Synthetic Village 1,HH_54,SRV_01,2024-05-01,5,7
SYN_1,Synthetic Village 1,HH_55,SRV_01,2024-05-01,2,0
SYN_1,Synthetic Village 1,HH_56,SRV_01,2024-05-01,0,4
SYN_1,Synthetic Village 1,HH_57,SRV_01,2024-05-01,3,6
SYN_2,Synthetic Village 2,HH_58,SRV_01,2024-05-01,2,0
SYN_2,Synthetic Village 2,HH_59,SRV_01,2024-05-01,5,2
SYN_2,Synthetic Village 2,HH_60,SRV_01,2024-05-01,1,6
SYN_2,Synthetic Village 2,HH_61,SRV_01,2024-05-01,5,7
SYN_2,Synthetic Village 2,HH_62,SRV_01,2024-05-01,3,1
SYN_2,Synthetic Village 2,HH_63,SRV_01,2024-05-01,6,7
SYN_2,Synthetic Village 2,HH_64,SRV_01,2024-05-01,7,4
SYN_2,Synthetic Village 2,HH_65,SRV_01,2024-05-01,9,1
SYN_2,Synthetic Village 2,HH_66,SRV_01,2024-05-01,0,4
