village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
V_003,Kheda,HH_1,SRV_01,2024-05-01,2,8
V_003,Kheda,HH_2,SRV_01,2024-05-01,2,8
V_003,Kheda,HH_3,SRV_01,2024-05-01,1,1
V_003,Kheda,HH_4,SRV_01,2024-05-01,4,9
V_003,Kheda,HH_5,SRV_01,2024-05-01,7,9
V_003,Kheda,HH_6,SRV_01,2024-05-01,10,2
V_003,Kheda,HH_7,SRV_01,2024-05-01,9,9
V_003,Kheda,HH_8,SRV_01,2024-05-01,5,7
V_003,Kheda,HH_9,SRV_01,2024-05-01,0,4
V_003,Kheda,HH_10,SRV_01,2024-05-01,7,2
V_003,Kheda,HH_11,SRV_01,2024-05-01,1,7
V_003,Kheda,HH_12,SRV_01,2024-05-01,0,10
V_003,Kheda,HH_13,SRV_01,2024-05-01,8,1
V_003,Kheda,HH_14,SRV_01,2024-05-01,5,9
V_003,Kheda,HH_15,SRV_01,2024-05-01,5,3
V_003,Kheda,HH_16,SRV_01,2024-05-01,10,1
V_003,Kheda,HH_17,SRV_01,2024-05-01,5,3
V_003,Kheda,HH_18,SRV_01,2024-05-01,5,6
V_003,Kheda,HH_19,SRV_01,2024-05-01,3,0
V_003,Kheda,HH_20,SRV_01,2024-05-01,2,10
V_003,Kheda,HH_21,SRV_01,2024-05-01,0,1
V_003,Kheda,HH_22,SRV_01,2024-05-01,0,8
V_003,Kheda,HH_23,SRV_01,2024-05-01,9,0
V_003,Kheda,HH_24,SRV_01,2024-05-01,8,8
V_003,Kheda,HH_25,SRV_01,2024-05-01,8,1
V_003,Kheda,HH_26,SRV_01,2024-05-01,5,8
V_003,Kheda,HH_27,SRV_01,2024-05-01,0,1
V_001,Bari,HH_28,SRV_01,2024-05-01,5,3
V_001,Bari,HH_29,SRV_01,2024-05-01,9,10
V_001,Bari,HH_30,SRV_01,2024-05-01,3,7
V_001,Bari,HH_31,SRV_01,2024-05-01,0,9
V_001,Bari,HH_32,SRV_01,2024-05-01,2,4
V_001,Bari,HH_33,SRV_01,2024-05-01,2,10
V_001,Bari,HH_34,SRV_01,2024-05-01,9,8
V_001,Bari,HH_35,SRV_01,2024-05-01,6,7
V_001,Bari,HH_36,SRV_01,2024-05-01,3,3
V_001,Bari,HH_37,SRV_01,2024-05-01,5,2
V_001,Bari,HH_38,SRV_01,2024-05-01,5,4
V_001,Bari,HH_39,SRV_01,2024-05-01,7,2
V_001,Bari,HH_40,SRV_01,2024-05-01,0,7
V_001,Bari,HH_41,SRV_01,2024-05-01,4,7
V_001,Bari,HH_42,SRV_01,2024-05-01,1,1
V_001,Bari,HH_43,SRV_01,2024-05-01,10,2
V_001,Bari,HH_44,SRV_01,2024-05-01,4,5
V_001,Bari,HH_45,SRV_01,2024-05-01,5,10
V_001,Bari,HH_46,SRV_01,2024-05-01,3,9
V_001,Bari,HH_47,SRV_01,2024-05-01,8,0
V_001,Bari,HH_48,SRV_01,2024-05-01,4,1
V_001,Bari,HH_49,SRV_01,2024-05-01,9,2
V_001,Bari,HH_50,SRV_01,2024-05-01,4,10
V_001,Bari,HH_51,SRV_01,2024-05-01,5,4
V_001,Bari,HH_52,SRV_01,2024-05-01,6,2
V_001,Bari,HH_53,SRV_01,2024-05-01,7,4
SYN_3,Synthetic Village 3,HH_54,SRV_01,2024-05-01,1,9
SYN_3,Synthetic Village 3,HH_55,SRV_01,2024-05-01,2,8
SYN_3,Synthetic Village 3,HH_56,SRV_01,2024-05-01,4,8
SYN_3,Synthetic Village 3,HH_57,SRV_01,2024-05-01,10,7
SYN_3,Synthetic Village 3,HH_58,SRV_01,2024-05-01,0,1
SYN_3,Synthetic Village 3,HH_59,SRV_01,2024-05-01,1,10
SYN_3,Synthetic Village 3,HH_60,SRV_01,2024-05-01,0,3
SYN_3,Synthetic Village 3,HH_61,SRV_01,2024-05-01,2,0
SYN_3,Synthetic Village 3,HH_62,SRV_01,2024-05-01,9,7
SYN_3,Synthetic Village 3,HH_63,SRV_01,2024-05-01,4,2
SYN_3,Synthetic Village 3,HH_64,SRV_01,2024-05-01,10,6
SYN_3,Synthetic Village 3,HH_65,SRV_01,2024-05-01,6,4
SYN_3,Synthetic Village 3,HH_66,SRV_01,2024-05-01,5,2
SYN_3,Synthetic Village 3,HH_67,SRV_01,2024-05-01,7,10
SYN_3,Synthetic Village 3,HH_68,SRV_01,2024-05-01,9,5
SYN_3,Synthetic Village 3,HH_69,SRV_01,2024-05-01,6,3
SYN_3,Synthetic Village 3,HH_70,SRV_01,2024-05-01,1,10
SYN_3,Synthetic Village 3,HH_71,SRV_01,2024-05-01,0,10
SYN_3,Synthetic Village 3,HH_72,SRV_01,2024-05-01,2,4
SYN_3,Synthetic Village 3,HH_73,SRV_01,2024-05-01,7,10
SYN_3,Synthetic Village 3,HH_74,SRV_01,2024-05-01,3,9
SYN_3,Synthetic Village 3,HH_75,SRV_01,2024-05-01,0,6
SYN_3,Synthetic Village 3,HH_76,SRV_01,2024-05-01,8,5
SYN_3,Synthetic Village 3,HH_77,SRV_01,2024-05-01,7,5
SYN_3,Synthetic Village 3,HH_78,SRV_01,2024-05-01,5,1
SYN_3,Synthetic Village 3,HH_79,SRV_01,2024-05-01,1,10
