village_id,village_name,household_id,surveyor_id,survey_date,domain_indicator_1,domain_indicator_2
V_002,Gopalpur,HH_1,SRV_01,2024-05-01,6,2
V_002,Gopalpur,HH_2,SRV_01,2024-05-01,6,10
V_002,Gopalpur,HH_3,SRV_01,2024-05-01,9,4
V_002,Gopalpur,HH_4,SRV_01,2024-05-01,8,6
V_002,Gopalpur,HH_5,SRV_01,2024-05-01,5,3
V_002,Gopalpur,HH_6,SRV_01,2024-05-01,2,8
V_002,Gopalpur,HH_7,SRV_01,2024-05-01,4,7
V_002,Gopalpur,HH_8,SRV_01,2024-05-01,1,9
V_002,Gopalpur,HH_9,SRV_01,2024-05-01,4,7
V_002,Gopalpur,HH_10,SRV_01,2024-05-01,4,1
V_002,Gopalpur,HH_11,SRV_01,2024-05-01,8,8
V_002,Gopalpur,HH_12,SRV_01,2024-05-01,7,5
V_002,Gopalpur,HH_13,SRV_01,2024-05-01,1,7
V_002,Gopalpur,HH_14,SRV_01,2024-05-01,9,8
V_002,Gopalpur,HH_15,SRV_01,2024-05-01,8,10
V_002,Gopalpur,HH_16,SRV_01,2024-05-01,3,2
V_002,Gopalpur,HH_17,SRV_01,2024-05-01,4,9
V_002,Gopalpur,HH_18,SRV_01,2024-05-01,5,5
V_002,Gopalpur,HH_19,SRV_01,2024-05-01,4,4
V_002,Gopalpur,HH_20,SRV_01,2024-05-01,8,6
V_002,Gopalpur,HH_21,SRV_01,2024-05-01,2,9
V_002,Gopalpur,HH_22,SRV_01,2024-05-01,8,3
V_002,Gopalpur,HH_23,SRV_01,2024-05-01,6,1
V_002,Gopalpur,HH_24,SRV_01,2024-05-01,10,1
V_002,Gopalpur,HH_25,SRV_01,2024-05-01,7,1
SYN_1,Synthetic Village 1,HH_26,SRV_01,2024-05-01,1,4
SYN_1,Synthetic Village 1,HH_27,SRV_01,2024-05-01,4,8
SYN_1,Synthetic Village 1,HH_28,SRV_01,2024-05-01,8,3
SYN_1,Synthetic Village 1,HH_29,SRV_01,2024-05-01,4,8
SYN_1,Synthetic Village 1,HH_30,SRV_01,2024-05-01,1,4
SYN_1,Synthetic Village 1,HH_31,SRV_01,2024-05-01,9,10
SYN_1,Synthetic Village 1,HH_32,SRV_01,2024-05-01,3,7
SYN_1,Synthetic Village 1,HH_33,SRV_01,2024-05-01,7,0
SYN_1,Synthetic Village 1,HH_34,SRV_01,2024-05-01,0,4
SYN_1,Synthetic Village 1,HH_35,SRV_01,2024-05-01,6,9
SYN_1,Synthetic Village 1,HH_36,SRV_01,2024-05-01,5,1
SYN_1,Synthetic Village 1,HH_37,SRV_01,2024-05-01,1,10
SYN_1,Synthetic Village 1,HH_38,SRV_01,2024-05-01,7,1
SYN_1,Synthetic Village 1,HH_39,SRV_01,2024-05-01,4,3
SYN_1,Synthetic Village 1,HH_40,SRV_01,2024-05-01,6,6
SYN_1,Synthetic Village 1,HH_41,SRV_01,2024-05-01,9,8
SYN_1,Synthetic Village 1,HH_42,SRV_01,2024-05-01,8,9
SYN_1,Synthetic Village 1,HH_43,SRV_01,2024-05-01,9,10
SYN_1,Synthetic Village 1,HH_44,SRV_01,2024-05-01,8,2
SYN_1,Synthetic Village 1,HH_45,SRV_01,2024-05-01,7,4
SYN_1,Synthetic Village 1,HH_46,SRV_01,2024-05-01,8,10
SYN_1,Synthetic Village 1,HH_47,SRV_01,2024-05-01,4,1
SYN_1,Synthetic Village 1,HH_48,SRV_01,2024-05-01,2,2
SYN_1,Synthetic Village 1,HH_49,SRV_01,2024-05-01,6,1
SYN_1,Synthetic Village 1,HH_50,SRV_01,2024-05-01,1,10
V_005,Dantewada,HH_51,SRV_01,2024-05-01,10,10
V_005,Dantewada,HH_52,SRV_01,2024-05-01,6,3
V_005,Dantewada,HH_53,SRV_01,2024-05-01,8,4
V_005,Dantewada,HH_54,SRV_01,2024-05-01,8,5
V_005,Dantewada,HH_55,SRV_01,2024-05-01,0,8
V_005,Dantewada,HH_56,SRV_01,2024-05-01,9,9
V_005,Dantewada,HH_57,SRV_01,2024-05-01,8,3
V_005,Dantewada,HH_58,SRV_01,2024-05-01,9,4
V_005,Dantewada,HH_59,SRV_01,2024-05-01,8,2
V_005,Dantewada,HH_60,SRV_01,2024-05-01,9,2
V_005,Dantewada,HH_61,SRV_01,2024-05-01,0,3
V_005,Dantewada,HH_62,SRV_01,2024-05-01,8,5
V_005,Dantewada,HH_63,SRV_01,2024-05-01,4,5
V_005,Dantewada,HH_64,SRV_01,2024-05-01,0,0
V_005,Dantewada,HH_65,SRV_01,2024-05-01,2,5
V_005,Dantewada,HH_66,SRV_01,2024-05-01,7,3
V_005,Dantewada,HH_67,SRV_01,2024-05-01,1,4
V_005,Dantewada,HH_68,SRV_01,2024-05-01,0,2
V_005,Dantewada,HH_69,SRV_01,2024-05-01,6,2
V_005,Dantewada,HH_70,SRV_01,2024-05-01,4,4
V_005,Dantewada,HH_71,SRV_01,2024-05-01,4,1
V_005,Dantewada,HH_72,SRV_01,2024-05-01,3,5
V_005,Dantewada,HH_73,SRV_01,2024-05-01,2,3
V_005,Dantewada,HH_74,SRV_01,2024-05-01,3,9
V_005,Dantewada,HH_75,SRV_01,2024-05-01,0,0
V_005,Dantewada,HH_76,SRV_01,2024-05-01,5,4
V_005,Dantewada,HH_77,SRV_01,2024-05-01,7,0
V_005,Dantewada,HH_78,SRV_01,2024-05-01,6,2
SYN_6,Synthetic Village 6,HH_79,SRV_01,2024-05-01,7,7
SYN_6,Synthetic Village 6,HH_80,SRV_01,2024-05-01,0,9
SYN_6,Synthetic Village 6,HH_81,SRV_01,2024-05-01,10,6
SYN_6,Synthetic Village 6,HH_82,SRV_01,2024-05-01,5,4
SYN_6,Synthetic Village 6,HH_83,SRV_01,2024-05-01,7,3
SYN_6,Synthetic Village 6,HH_84,SRV_01,2024-05-01,4,10
SYN_6,Synthetic Village 6,HH_85,SRV_01,2024-05-01,8,4
SYN_6,Synthetic Village 6,HH_86,SRV_01,2024-05-01,0,9
SYN_6,Synthetic Village 6,HH_87,SRV_01,2024-05-01,7,10
SYN_6,Synthetic Village 6,HH_88,SRV_01,2024-05-01,3,4
SYN_6,Synthetic Village 6,HH_89,SRV_01,2024-05-01,1,9
SYN_6,Synthetic Village 6,HH_90,SRV_01,2024-05-01,7,2
SYN_6,Synthetic Village 6,HH_91,SRV_01,2024-05-01,6,10
SYN_6,Synthetic Village 6,HH_92,SRV_01,2024-05-01,6,5
SYN_6,Synthetic Village 6,HH_93,SRV_01,2024-05-01,8,7
SYN_6,Synthetic Village 6,HH_94,SRV_01,2024-05-01,8,5
SYN_6,Synthetic Village 6,HH_95,SRV_01,2024-05-01,8,8
SYN_6,Synthetic Village 6,HH_96,SRV_01,2024-05-01,4,8
SYN_6,Synthetic Village 6,HH_97,SRV_01,2024-05-01,8,1
SYN_6,Synthetic Village 6,HH_98,SRV_01,2024-05-01,2,10
SYN_6,Synthetic Village 6,HH_99,SRV_01,2024-05-01,6,8
SYN_6,Synthetic Village 6,HH_100,SRV_01,2024-05-01,7,7
SYN_6,Synthetic Village 6,HH_101,SRV_01,2024-05-01,5,0
SYN_6,Synthetic Village 6,HH_102,SRV_01,2024-05-01,4,5
SYN_6,Synthetic Village 6,HH_103,SRV_01,2024-05-01,10,6
SYN_6,Synthetic Village 6,HH_104,SRV_01,2024-05-01,9,10
SYN_6,Synthetic Village 6,HH_105,SRV_01,2024-05-01,10,7
SYN_6,Synthetic Village 6,HH_106,SRV_01,2024-05-01,8,8
SYN_6,Synthetic Village 6,HH_107,SRV_01,2024-05-01,2,10
SYN_6,Synthetic Village 6,HH_108,SRV_01,2024-05-01,0,5
SYN_2,Synthetic Village 2,HH_109,SRV_01,2024-05-01,3,5
SYN_2,Synthetic Village 2,HH_110,SRV_01,2024-05-01,10,4
SYN_2,Synthetic Village 2,HH_111,SRV_01,2024-05-01,5,9
SYN_2,Synthetic Village 2,HH_112,SRV_01,2024-05-01,6,4
SYN_2,Synthetic Village 2,HH_113,SRV_01,2024-05-01,3,3
SYN_2,Synthetic Village 2,HH_114,SRV_01,2024-05-01,2,1
SYN_2,Synthetic Village 2,HH_115,SRV_01,2024-05-01,6,9
SYN_2,Synthetic Village 2,HH_116,SRV_01,2024-05-01,2,10
SYN_2,Synthetic Village 2,HH_117,SRV_01,2024-05-01,8,5
SYN_2,Synthetic Village 2,HH_118,SRV_01,2024-05-01,4,3
SYN_2,Synthetic Village 2,HH_119,SRV_01,2024-05-01,2,9
SYN_2,Synthetic Village 2,HH_120,SRV_01,2024-05-01,1,7
SYN_2,Synthetic Village 2,HH_121,SRV_01,2024-05-01,6,6
